"","MEbrown","MEyellow","MEdarkmagenta","MEskyblue","MEblue","MEred","MEdarkslateblue","MEwhite","MEtan","MEblack","MEmediumpurple3","MEbrown4","MEplum2","MEivory","MElightcyan","MEsaddlebrown","MEorange","MEsienna3","MEgrey60","MEorangered4","MElightyellow","MEyellowgreen","MEmidnightblue","MElightcyan1","MEthistle2","MEcyan","MEpink","MEbisque4","MEthistle1","MEdarkgreen","MEgreen","MEdarkolivegreen","MEviolet","MEdarkorange","MEgreenyellow","MEfloralwhite","MEroyalblue","MEdarkred","MEsteelblue","MEturquoise","MEdarkgrey","MEmagenta","MEdarkorange2","MElightgreen","MEdarkturquoise","MEpaleturquoise","MEsalmon","MEplum1","MEskyblue3","MElightsteelblue1","MEpurple"
"RIL_1",-0.0338966077797324,-0.0194467514732337,0.00664340901939398,-0.0164422054402122,-0.0277830766604932,-0.0395378549774836,-0.101097689440314,-0.0464585467929596,0.117140451867497,-0.10400909950254,0.0226147133924093,0.113185813648983,0.0655722054579517,-0.0777264004048021,-0.0816926294450512,-0.0928787260414932,0.0977194284083451,-0.0253271710177543,0.0323118110307658,-0.130505819407055,-0.0921386959163357,0.0393737322987067,-0.110980212518108,0.100221080362154,0.111637870723402,-0.0975311786468191,-0.115453652396693,-0.091886140136775,-0.105060903290972,0.0870345476234023,0.0839167909958715,-0.0885314149617981,-0.0678323839230451,0.104875882636044,0.0669884151707498,0.111487887420064,0.111804458324442,0.152437178281149,0.168757045231309,0.0609348990034727,0.0604156572346527,0.0738630069734588,0.0870668950996469,0.0800580009561503,0.0128947416518179,0.110523199949221,-0.0380344988322107,-0.122992253973669,-0.114075463901951,0.121211012548951,0.111035073073212
"RIL_103",0.0775960463808154,0.0988796622887936,-0.0512577696249833,0.0236845178154952,-0.0850996977062286,-0.0379360946131235,0.066292680978009,0.0607125520574829,-0.0392226642221056,-0.135092594617121,0.0175941072061013,-0.10377313979546,0.0964276487822487,0.0974117064384916,0.0870277142491194,0.0896612382434993,0.0956278892312303,0.0835730395000782,0.0645194174571327,0.0855886048783518,-0.100458635501637,0.0766092263182607,0.0293742235290453,-0.0839929835470351,-0.0135856325437737,-0.103182362544123,-0.130991298626579,-0.115990301499186,-0.0918455281476233,-0.0522026853947224,-0.0158964516018196,0.103512637308436,0.0726764091031298,-0.101409601208186,0.0615521824449652,0.114402622492223,0.105166228887408,-0.0548651033113388,0.0665964918909011,-0.0351464694541361,0.0244751147171451,-0.0564193519231563,-0.112851990583488,-0.103036969940166,-0.0554058185861446,-0.0924778076681337,-0.0811315259256361,0.0686724838707676,-0.0404755883394246,0.130399572854966,0.117850277673518
"RIL_104",-0.133573306037393,-0.126282877852091,-0.0474935076180285,-0.0994230351212805,-0.0584989210115407,-0.158854934998117,0.0719174768789862,-0.027624413853309,0.119287840585183,0.0626014948749498,0.049522538056619,0.149970700662739,0.107125439671202,0.110494171983725,-0.0628076116803485,-0.0670094531067338,-0.0813930144544738,0.0886731557668355,0.0733151994664238,0.105183842677314,-0.0877948989690642,0.102142245770082,-0.107757191301341,-0.0645402177141781,-0.0701218354512265,-0.0385707271136205,0.0536143172925235,-0.102155085774222,-0.113649065957742,0.0836976485494332,0.0879816364055941,0.119497205254472,0.110794080328037,0.158119527372943,0.0527928489765821,-0.0196752816474417,-0.0658608869463479,0.104900828497752,0.0962773278476513,0.148923077100941,0.0214203588234863,0.0337833617053769,-0.0915392936158079,0.0827431995891185,-0.109681841698904,-0.0768312243729379,-0.0707080235620156,-0.122309509480692,-0.0846202052266164,-0.0956729267101904,0.00133505699189701
"RIL_113",0.240306676252203,0.153432320897791,0.145038248214969,0.104120789999356,0.00176080743190105,0.0592466831293977,-0.0924117667618647,-0.0955755683083969,-0.0671535580243523,-0.0998133896404853,0.0275487736719846,-0.0532438306484759,-0.0700170386107801,-0.0823766408603002,-0.0704348604889481,-0.0894566319769972,-0.0652860253591411,-0.0973042259857557,-0.105605942695357,0.0200786529093348,0.105033512214942,0.0406529182220071,0.074071851623584,0.12010406561388,0.126942368915208,-0.0219944151048647,0.0934262118017653,0.0935258184426944,0.0878521097727582,-0.035826660629709,-0.129951055475128,0.0648720764953525,0.0450648225879024,-0.0883193193995016,-0.0873822793674665,0.076894500059183,0.123754093696801,-0.07779023313081,-0.0963515960804735,-0.186223850825589,-0.079367112907379,-0.139752756489949,0.0760952140686665,0.0881973975994585,0.1039139729104,-0.00208647476176171,0.133000886299863,0.0555732945049106,0.0766894768073278,-0.0660268617108494,-0.0689690764494047
"RIL_115",-0.111327630153017,-0.141132882328168,-0.0950640366355152,-0.102657857506162,0.165445926685559,0.0065743834812869,0.061228675917556,0.0833658528291288,0.102821052032419,-0.0991564490463797,0.0311660580786621,0.113326892524236,-0.0783470681300483,-0.071413723576114,-0.0904230027722533,0.000970229227809824,0.0958111372599677,-0.12752992951895,-0.137053739761651,-0.0614103083249175,-0.10550293519728,0.072087502565184,-0.0389237625763721,-0.101015007088838,-0.0942756881920885,0.0746138821285447,0.105074708443062,0.0883136065943806,0.106881034477508,0.0216841397785914,-0.0506626949958969,0.0993304489626717,0.000585938123910487,0.136507426275381,0.0800455205661783,0.124133462755118,0.109154753843625,0.0929298657695134,0.084233866680216,0.0428001587600567,-0.107319995671069,-0.0293218248399094,0.118788875332399,0.0720670498018849,0.130851211062638,0.118875536128252,0.129105174139286,-0.0656293132538706,-0.13280760675934,-0.11792085956972,-0.0990077641974104
"RIL_12",-0.0800356261328857,-0.0456350239139489,-0.0831312139731424,-0.0811174558605069,0.215514295064253,0.1304236284296,0.0505897215695173,0.108790390489891,0.138196216951652,0.0994198063357972,0.0447134528092481,-0.109261779819681,-0.0855362390899957,0.107531301593323,-0.0702919084766619,-0.0884848695280056,-0.122032011266344,-0.120970204498134,-0.131058510946847,-0.119377795012272,-0.0604300031026978,0.0835309576342463,0.0796548264586991,-0.0933857691201029,-0.0777996542140934,0.109602564241399,-0.0799523465121175,-0.108371505833585,-0.0212625992833353,-0.0861312474977975,0.0512434143830824,-0.0768711523981227,-0.115579767548749,-0.0756273112320505,0.0595917773267868,-0.0640690059709644,-0.0773688540398993,0.0724477221203989,0.0733004691837914,-0.0681771162784833,-0.0762508992282678,-0.0266783152597662,-0.0798993711524704,0.10830811915984,0.104115138018867,0.134696567578305,0.140314535605299,-0.13726621928451,-0.111678642252001,0.131559502697555,0.115429627085832
"RIL_123",0.221227995124932,0.110098228794852,0.14850449549444,0.115860072423998,0.084894141147413,0.06819732136358,-0.145040474749735,-0.135492535839867,-0.100687554616569,-0.146041812695314,0.0303205705993987,-0.0789777922412524,-0.0957429186094041,-0.107605879023587,-0.0985305401428892,-0.11103704914891,-0.0277549178756465,-0.124864834367641,-0.145189090371,0.00661727885148464,0.103486575854145,0.035771598915004,0.061962473634623,0.124094386685613,0.125736714134281,0.00694713338548431,0.100566791872618,0.102905634255471,0.108418916113074,-0.0915391049983312,-0.103143265685753,0.102671089589832,0.0445380687191854,-0.120774425022208,-0.101542144368704,0.0907668985806079,0.137000170706886,-0.0994781042415516,-0.130377969340013,-0.198573372690553,-0.0803466716881986,-0.168443041922782,0.0879693209895624,0.100008799706967,0.115650110168872,-0.00392394875155227,0.143950627306471,0.066842799009171,0.0771763414972582,-0.104962106530842,-0.0923511417109103
"RIL_124",-0.09444146197168,-0.075648619811834,0.0460126150802952,0.107831228734573,-0.0494380972098428,-0.0758092854784494,-0.097311604792507,-0.101318327557272,0.0671206204705099,0.0664734246878948,0.0257848957002809,-0.0580734854203235,0.0452504617860883,0.107059292527127,0.102792168817205,0.116081910904792,-0.091745260283338,-0.0909373453439111,0.0520854702294717,0.105403649171901,-0.0553690241113919,0.124083291491317,-0.0164552302635466,0.116913614299087,0.122985835505903,-0.0847934264369036,0.0757630246308175,0.104012116447139,0.0911105634161949,-0.00127390138507168,0.037664950548633,0.0954880416428183,0.109280702755098,-0.0274076249609849,0.0329578762822349,-0.0273682848846478,-0.068056510047409,-0.0977848646623188,-0.0651504804023933,0.133525506960485,-0.0955795823553633,0.0149859921546527,-0.074123039996036,-0.106737226110092,0.103373074230593,-0.0564446872932266,-0.0503398670173592,-0.0938362842241856,-0.00552041707262335,-0.089888051714832,-0.0791969049390894
"RIL_131",0.125801733923387,0.0654831770771257,0.117049213562804,0.0949580614813507,-0.0172983098046765,0.0865872852440604,-0.106873577063365,-0.126401853532451,-0.0705199359214596,-0.125848798485498,0.0130149359878235,0.0770368809552402,-0.0938485004384168,-0.0958306000705118,-0.0761030136836841,-0.111688834439333,0.0171618682751488,0.0834984654810309,0.0680626958296761,-0.0681852149303782,0.0767810516204178,-0.116640727614479,0.0171838550851796,0.0933647463111146,0.126528732552164,0.0082258678194799,0.0340085872607204,-0.0933648961166764,-0.0739328829465126,-0.00970899355407294,-0.0899107478478502,-0.0806240437856368,-0.00343224530317679,-0.0299640654839546,-0.0522100953461931,0.0714539685685497,0.111763482658887,-0.116531535905006,-0.118575041941269,-0.0815666873330635,-0.0115478396522486,0.0411522826778387,0.0755034165851165,0.0776535426981915,-0.0703120763256836,0.0696429851134781,-0.0624943352385244,0.0511422216431164,0.0745134675007164,0.00100889106052837,-0.0694164021215987
"RIL_136",-0.0453878181823014,0.0242241263924274,-0.0662732045112122,-0.0912641443317531,0.063940283771559,0.0386136353626541,-0.124043522580896,-0.0579550553091133,-0.0955794810655483,0.0838481997429493,0.0467255692411014,-0.108503962003364,-0.10195984552576,0.031755249787534,-0.0889703115549621,-0.103068489390558,0.104232949108185,0.0975019185889958,0.0761715136165797,0.0907277491303776,-0.0926447033402906,-0.082312120825845,-0.111183293667691,0.0925324004500921,0.111797812887948,-0.0716370539781811,0.0949369590196389,-0.0560931103612345,0.0765193758567404,0.100121332873436,0.0637830711286443,-0.0988722786307299,0.00625149754523166,-0.0741650182751875,0.105064891351694,-0.0980578843473657,-0.0662244326980283,0.0991427512295546,0.0870403875666731,-0.0211996840781091,-0.0497604046864247,0.00533432582887103,-0.000322162266636034,0.0940023946537024,-0.0943612506082254,-0.079965710334101,-0.0731152333757682,0.0749099604946468,0.0952216769184291,-0.111295871066583,-0.0995057233706912
