"","MEdarkgreen","MEbrown","MEturquoise","MEwhite","MEred","MEpink"
"RIL_1_CR",-0.0599831407484745,-0.00618020366106075,-0.0182518338390466,0.0764086302535463,0.0297581133711257,0.050501606935508
"RIL_1_UN",-0.0733611682500062,0.0260527438677471,0.00784735378295787,0.088160546847988,-0.0219909755700715,0.0608746942616364
"RIL_103_CR",0.0560707357727207,-0.00739134072660375,0.0598305403228726,-0.0496678188170175,-0.0333722618469907,-0.0171212379330902
"RIL_103_UN",0.0557428041556025,-0.0233351788871244,0.101511127182334,-0.0543966380107384,-0.0807515971798975,-0.0409630948785572
"RIL_104_CR",0.00618312765242929,-0.0802568620066669,-0.0804882050130934,-0.0514731009081497,0.0937705934564789,0.0146146535966759
"RIL_104_UN",0.0138210031040768,-0.125159443960193,-0.096752866560455,-0.0602887020959235,0.161958941825606,-0.0225524077481764
"RIL_113_CR",-0.0631799354654701,0.0522230660939861,0.168083351681209,0.0888915734709652,-0.116833827754933,-0.083948774553241
"RIL_113_UN",-0.0988840353131948,-0.00834398471679536,0.0919326208520773,0.091092395139281,-0.0630063520260199,-0.0944309425024932
"RIL_115_CR",0.0630091987369644,0.0343803806406994,-0.0706685302636211,-0.0806886612108925,0.0372803410425779,-0.0547273192367204
"RIL_115_UN",0.0646564701088173,-0.0453433114642442,-0.120361702466507,-0.0648997385667552,0.10473131282569,-0.0162474712705057
"RIL_12_CR",0.0727629192571582,0.110306619962578,-0.0322029762125123,-0.0606531275383038,-0.0820055624071164,-0.0556791046686363
"RIL_12_UN",0.0679906366303171,0.0497049773272232,-0.0178832635786691,-0.0668499643415058,-0.0438539783500411,-0.0317724699838956
"RIL_123_CR",-0.102011884946222,0.049289513897549,0.15757049207572,0.0924809639854781,-0.141972181719856,-0.100144507796061
"RIL_123_UN",-0.0938791183597879,0.0770194032683907,0.160412294788893,0.0921949642464878,-0.103887826781458,-0.0143805643843734
"RIL_124_CR",-0.0708286040267704,-0.0257560845093378,-0.0432764760819629,0.081912286696539,0.0889886567731323,0.0237644128701444
"RIL_124_UN",-0.0951277395881818,-0.133688202325798,-0.00649593830262071,0.0745619165362502,0.0409968521819656,-0.0649784000793422
"RIL_131_CR",-0.0822892489777311,0.0840690089821758,0.0971039852620421,0.0760792673905615,-0.063770097817065,0.030843253487291
"RIL_131_UN",-0.0976203270004801,0.0238132869837636,0.112620520066929,0.0875395356734933,-0.108255620556952,-0.0481801725448912
"RIL_136_CR",-0.0486422040513474,0.0473373324731837,-0.0258505942194651,0.069092791646133,-0.0259518187478856,-0.0170024228271989
"RIL_136_UN",-0.0472871961681561,-0.00811432454279664,-0.0423120456863497,0.0676237221111334,-0.0308228301862642,-0.0818789380246172
"RIL_143_CR",-0.0273986704566988,-0.0501825983756266,-0.0700032457638234,0.0680272938709405,0.0442255048081638,0.018837211160929
"RIL_143_UN",-0.0393562094954233,-0.111639185100594,-0.0770140161817808,0.0713993785046526,0.0586261217532532,-0.0649390311989063
"RIL_146_CR",-0.0495312015531704,0.0231646345650863,0.0144199387558531,0.0999937061358743,0.0372078629837704,0.105105858462378
"RIL_146_UN",-0.090036424384867,-0.0696810509059162,0.0151430840292885,0.078017511812222,0.0462645880525296,0.0290511049329081
"RIL_147_CR",0.0825911435834513,-0.0271175143258417,-0.0251121986956673,-0.0436919834802221,0.0783273582715863,1.89096659987358e-05
"RIL_147_UN",0.0753205319226102,-0.0145014798573128,-0.0143062204761742,-0.0663457177977147,0.0147400412826743,-0.0369063028604007
"RIL_15_CR",0.0691958650494293,0.0463479992724419,0.0194914367204223,-0.0561249386320059,-0.00119527573821816,0.0699827929944926
"RIL_15_UN",0.0614433287297163,-0.0404138504463111,-0.0760267402497671,-0.0684360711628647,0.0552823537249529,0.0883285079271833
"RIL_150_CR",0.0674372684902652,0.147306837441224,-0.0503975498660937,-0.0673525950110554,-0.0434279482571216,0.0833390743224993
"RIL_150_UN",0.0724933648728586,0.0169166243303816,-0.0520352391636326,-0.0668203595424646,0.0206741780453032,0.0183407825539792
"RIL_154_CR",0.0602745636682842,0.00364632584489332,-0.0183416165399375,-0.0540756968656817,-0.000281599819396745,0.00655440301020416
"RIL_154_UN",0.0605784056074243,-0.0899661217359171,-0.0682553241590713,-0.0722808166771246,0.0891068451630461,-0.0137201148655928
"RIL_155_CR",0.0646987322984008,-0.0528163263240678,-0.0855116040722351,-0.0631654451670092,0.0606603438990085,0.0792765641707458
"RIL_155_UN",0.062634725429529,-0.0885667547363893,-0.086984497491729,-0.0681900690487898,0.0677252454467488,0.0724173494911441
"RIL_16_CR",0.0733840789690199,0.0612235384332231,-0.0548251007070195,-0.0588198797996006,0.0093256374425385,0.0275672802634469
"RIL_16_UN",0.0707358332947108,0.0114447638573721,-0.0825485709866527,-0.0614269680549404,0.0600351539515888,0.0636098407312903
"RIL_164_CR",0.0677773184958554,0.161576839071475,0.160747816585555,-0.0524256771858182,-0.0883925021497475,0.126806562692074
"RIL_164_UN",0.0805818465407611,0.0816179239255692,0.120723816832296,-0.0578505918943147,-0.089926164156544,0.032241800229903
"RIL_166_CR",0.0658985882968669,0.0393480277703003,-0.08518552342527,-0.0642878449164498,0.0202462487181555,0.0494752567590268
"RIL_166_UN",0.072072988759455,-0.00874199612167502,-0.067266950461697,-0.0735786382766411,0.0624504756365934,0.0241434222127637
"RIL_171_CR",0.073347319078119,0.0783920655136351,-0.0268710589392242,-0.0391321154171268,-0.0424827622352564,-0.0244312037166832
"RIL_171_UN",0.0637653601351023,0.0214991479107811,-0.0745555090077664,-0.0515969867351978,0.0152151601312254,-0.0397156480767511
"RIL_174_UN",-0.0511909055880603,-0.0494997490963779,0.0232190763476098,0.0602735658309323,-0.0222852866804496,-0.0659056133669228
"RIL_175_CR",-0.0246143929316407,0.0768384045109539,0.00411090383007933,0.071102258971007,-0.0321097360839719,-0.0155930694097195
"RIL_175_UN",-0.0217558590059448,-0.012046421173393,-0.0604151556936109,0.0683967748780131,0.0162610980485666,0.000293317001140477
"RIL_176_CR",-0.0464487202262616,-0.105426586273359,-0.0180272301299459,0.0116572373814669,0.0532990644573666,-0.0348519988335488
"RIL_176_UN",-0.055669206806929,-0.112319599208186,-0.0115553437660491,0.0105646890436297,0.0216433971949455,-0.0560889441377429
"RIL_182_CR",-0.0471728958836434,-0.00257474570219035,-0.0562314193027271,0.0545948398575518,0.0727888103640055,0.11469487706572
"RIL_182_UN",-0.0697009221555078,-0.0576105698029267,-0.0381043137319057,0.0611956643938142,0.0734198107415574,0.0659787721175818
"RIL_183_CR",0.0638857929466112,-0.0250960179453473,-0.0383370936313884,-0.0602456943875573,0.0115463849497734,-0.0228166995510232
"RIL_183_UN",0.0615603228232738,-0.0954533290030514,-0.0965663539959939,-0.0689954244174213,0.121976503606663,-0.0256031699721295
"RIL_184_CR",-0.0660653721128303,0.0161631519119207,-0.000402033020396371,0.0791588689349556,0.0319561660904933,0.0630359381493537
"RIL_184_UN",-0.0950275699860564,-0.0129980849434873,0.025839550563908,0.0911383387582112,-0.0655112714735775,-0.0837802984358251
"RIL_187_CR",0.0601147644239935,-0.0583291548351395,0.0327668007650076,-0.0643298491715548,-0.0400259129391518,-0.0773291777569963
"RIL_187_UN",0.063515283708852,-0.0585564777055172,0.0431064947106614,-0.0651485506098444,-0.0460218771751277,-0.0320981895412148
"RIL_190_CR",-0.0852629487815539,-0.0530405118859775,-0.0840265998900167,0.0865716056329284,0.116925745096218,0.159086677520909
"RIL_190_UN",-0.0909847557741955,-0.0217619416102297,-0.0154098729747425,0.0902895203733484,0.0374099311834354,0.150153310511736
"RIL_193_CR",-0.0743369895509991,0.00176709237684515,-0.00873972850015519,0.0787861577729579,0.0429913579002189,-0.00452777973863025
"RIL_193_UN",-0.084232953193511,0.0197208344367074,0.0189811792796664,0.0896126161707757,-0.0141882144644586,0.0159240300212415
"RIL_198_CR",0.0715428541663213,0.00757147299383803,-0.00135506575364752,-0.0537245462810075,0.0178366433993129,-0.0265984530931139
"RIL_198_UN",0.0690321623716298,0.025869212713743,0.0159313531512363,-0.0584230226902102,-0.0513389082509929,-0.016239125405577
"RIL_199_CR",0.071023103619492,0.0168410843096678,0.0292171594227665,-0.0633101973063197,-0.0121298449852091,-0.0036998405481159
"RIL_199_UN",0.0717108520144633,0.00920928772665166,-0.015673638304842,-0.0622846743397123,0.014627760438709,0.0510380362988353
"RIL_2_CR",-0.0757515657062955,-0.0521024718845708,-0.0126317901936661,0.0803222364948799,0.0425231709685693,0.0132929393442916
"RIL_2_UN",-0.104956048687539,-0.0617246361979433,-0.00409810731578351,0.0781274694887914,-0.00658821187444381,0.0398856172299561
"RIL_201_CR",-0.0235225254648332,0.0820899841212341,0.102289687685024,-0.0148143474677341,-0.079936429280699,0.0413218561077746
"RIL_201_UN",-0.0337067957778521,0.0630372056596165,0.0884826086682385,-0.0109399538969976,-0.0305007697111115,0.056529656681628
"RIL_204_CR",0.0724495201365245,-0.00105674292946755,0.0231548194795505,-0.0682204645577235,-0.0613547625324527,-0.109061691999714
"RIL_204_UN",0.0683187187076378,0.00354798745564052,0.108205221927945,-0.0680284003386689,-0.133112230601128,-0.121162944616956
"RIL_205_CR",0.0534853586984096,-0.0459912442424822,-0.00164464402596866,-0.0475471833928461,0.0260433495571971,0.00655422525205208
"RIL_205_UN",0.0474796883398363,-0.0759629436699474,0.0203010302669191,-0.0604067327385047,-0.0202344310620536,-0.0248070507622167
"RIL_206_CR",0.0766506385505577,0.112753077056169,-0.0224902191047171,-0.0754998227694783,-0.0486960726435009,0.00319377589836477
"RIL_206_UN",0.0714489789840878,0.0459674212715262,-0.0196714037046406,-0.0708607582739905,-0.0335273920222965,-0.0399644126837584
"RIL_207_CR",0.0569784219639065,0.0432069879291686,-0.00137036072635198,-0.0541745177185713,-0.00175899909921541,0.0147688139395599
"RIL_207_UN",0.0578042619830363,-0.0438731295586942,-0.0466143060168165,-0.0681615140147491,0.0723264024259623,-0.0387477524066375
"RIL_208_CR",0.0477143842006275,0.105386787522459,0.0422247575103759,-0.0521387229804186,-0.0598966217865642,0.0223460105639133
"RIL_208_UN",0.0497804836288591,0.0890660577863032,0.0469745404281743,-0.0420659837905648,-0.0477691902889268,0.0779859615831952
"RIL_21_CR",-0.0565759674715695,0.0155774163303583,0.00683740980954849,0.0801927147518136,0.0442941506541,0.128402865197166
"RIL_21_UN",-0.0847447106402391,-0.0660437511380935,-0.111873245209222,0.0804579483049529,0.129847824547128,0.111681668535474
"RIL_211_CR",0.0613800744749032,-0.0265634576304455,-0.0208373362634044,-0.0390234944156866,0.0309419823357822,0.0241723695199465
"RIL_211_UN",0.0601984664700701,-0.053867075032021,-0.0208575581950083,-0.0616853627617578,-0.0447389174057451,-0.120651230170555
"RIL_212_CR",-0.0231889980955163,0.134300588736884,0.0320576932937595,0.0116225680947529,-0.0921021852192143,-0.00240297843778966
"RIL_212_UN",-0.0253609041341784,-0.00302664841386065,-0.0609388229247458,0.0112804412485584,0.0528384751467449,0.032548404208502
"RIL_213_CR",-0.0339641829172188,-0.040166391800932,-0.0598680851231069,0.015133677937255,0.0387223055597,0.0800155077638657
"RIL_213_UN",-0.0326731112561095,-0.0788464801720939,-0.0798375799578989,0.0136977738476292,0.065413463750562,0.0559229783881372
"RIL_215_CR",-0.0894286173484852,0.0286441461300252,-0.00497576834534724,0.0855074406141941,0.00486972080830466,0.0312153979964073
"RIL_215_UN",-0.0995433599590303,0.0147093215685547,-0.0154795770155332,0.0784919131372396,0.0150412033833147,0.0309514606036514
"RIL_222_CR",-0.0392014497374747,-0.0582009283902017,-0.0864099563514852,0.0403380055633991,0.118342501120691,-0.0487606936111117
"RIL_222_UN",-0.0450202970860652,-0.082147020873538,-0.105511915528956,0.0458039742709121,0.122371925194976,0.0406704691254355
"RIL_223_CR",0.0690865787468977,0.0936522197821172,0.140625307036168,-0.0779343215490198,-0.12320214146607,-0.0107780391636667
"RIL_223_UN",0.0662912836692857,0.0211908608686563,-0.0090875658836706,-0.0696241668496477,-0.0406509362518349,-0.0240649562098354
"RIL_225_CR",0.0720466037211297,0.0815049553795682,0.0318427137327502,-0.0645622365620802,-0.041751296766654,0.0482714189590505
"RIL_225_UN",0.0665133948206245,0.0379779477002264,0.0953859543061409,-0.0599589056340849,-0.0783887200188648,0.00455498858421902
"RIL_228_CR",-0.0959037778983395,-0.0100883836332461,0.0407302057078372,0.0799212386114356,0.0172110924906873,0.0202542784763559
"RIL_228_UN",-0.0982426105768296,-0.0655714642635791,-0.0145930180861341,0.082800968173678,0.0478561483250475,-0.00174018738338575
"RIL_229_CR",-0.0298187217246569,-0.05391570000524,0.00917686051812457,0.0480385496602034,0.0475161642942534,0.0143200014316217
