"","MEyellow","MElightpink4","MEdarkturquoise","MEroyalblue","MEviolet","MEdarkgrey"
"RIL_1",0.0647763710126558,-0.0828027415271144,0.113055285761658,-0.00564796994285142,-0.0952061671686118,-0.0914750478522807
"RIL_103",-0.0853150415169452,0.0851757029121055,0.00474748069519437,0.0342500391785701,-0.0739751176053465,0.0597060879101551
"RIL_104",-0.222465984872548,-0.0809360538827111,-0.00119098286647559,0.0653914969705329,-0.076616825621343,0.076694653876134
"RIL_113",0.082078476279706,-0.102746910496468,-0.1231322236795,-0.0693549293033363,0.134311352980574,0.100447876743605
"RIL_115",0.0474720942380874,0.0826566916923269,-0.0297192323082489,0.0306853005598367,-0.0708720215767913,-0.0255207728480832
"RIL_12",0.132410623483364,0.0900255471287394,-0.0171536530296852,-0.127444253729588,-0.0838092985433124,-0.1139664621274
"RIL_123",0.14574775156418,-0.0954152110567573,-0.00901591649433294,-0.0697856409687065,0.110835588801333,0.0855706852731289
"RIL_124",-0.132243021483263,-0.100721975448777,-0.0389174643527144,0.0517956962152125,0.0465336184179071,0.0782607023638984
"RIL_131",0.0152791997237353,-0.107229151574824,-0.0540371965141462,-0.0484371859074773,0.117653628198043,0.0125551223479058
"RIL_136",0.121681888349977,0.0614995352525491,-0.0935299837775948,-0.129469457547131,-0.0496761677082588,0.0266932291397151
"RIL_143",-0.0954755997908589,0.0799639730374511,-0.0452356548874881,0.027030545678459,-0.0602622151934629,0.0972047835906595
"RIL_146",-0.117753487111265,-0.104112535914739,0.079797586463613,0.0963601574857617,-0.0839781729664907,0.0971667673757943
"RIL_147",0.04762860059517,0.0842862152566,-0.0358688464214297,0.00527134404352086,-0.0775775007911901,-0.108082082720959
"RIL_15",-0.0718838930429996,0.0899270522625216,0.144074802092849,0.103524505771205,-0.0460450936332069,-0.0901211099757842
"RIL_150",0.0405698012486541,0.0747390134687723,0.0411473560801782,-0.0537609109000555,-0.0865546048985442,-0.112373193417892
"RIL_154",-0.0860906737343712,0.0813909882886481,0.0126842567053452,0.02369644101201,-0.0635271702017833,0.08812946700048
"RIL_155",-0.0845497768160956,0.0831954708236026,0.136197579397243,0.109573753203081,-0.0704982909707313,-0.0853265266692163
"RIL_16",0.034494203802158,0.0780889413414251,0.0831478498751839,0.0443101626291138,-0.0964141859577155,-0.110967200148548
"RIL_164",0.113249044322329,0.102553663648233,-0.0527329957388735,0.0506629586328578,0.0966468231789461,-0.092048413572197
"RIL_166",0.0303794708373829,0.0805316851686306,0.0335446989420714,0.00243927929089628,-0.077467234145545,-0.0534804827734617
"RIL_171",0.0819204591230302,0.0774751613060787,-0.1261954834781,-0.0713737682600596,0.0548898428371633,-0.0937746190411588
"RIL_174",0.0160262317399896,-0.103580947310553,-0.063099176845012,0.022461992933115,-0.0782172713156754,0.0180694037969722
"RIL_175",0.0203038191201199,0.0832695510765565,-0.00558736485941853,-0.0224931967309217,-0.0915644220607717,-0.108217825003566
"RIL_176",-0.104857538854948,-0.02763134206821,-0.0556825697872317,0.14097127359269,-0.0960117581417917,0.108727476804571
"RIL_182",-0.0902557554650368,-0.115582730082037,0.114671088649731,0.0991490114510198,-0.0830584669407321,0.0996348882634754
"RIL_183",-0.0896406831384648,0.0764816702860109,-0.0508005599697005,0.113553580277218,-0.0822834836840228,0.0778194439989847
"RIL_184",0.0943147098103338,-0.105827192212208,-0.0929712672445496,-0.129394416722526,0.090668402733918,0.0507123742331029
"RIL_187",-0.12029824186815,0.0897604541629799,0.000360376590309868,0.0758953175251729,0.10924528820949,0.00238441137242864
"RIL_190",-0.0670183426157542,-0.112546823394594,0.219405180396824,0.120688178182559,-0.0621256917526499,0.114649944282805
"RIL_193",0.0675383090139744,-0.103631450688172,0.0258356895723578,-0.0693214442317943,-0.0786266029535161,-0.0821545869494016
"RIL_198",0.128293705032859,0.097567494576476,-0.127161780583633,-0.0506376454555361,0.0680808156448548,-0.0287853365949295
"RIL_199",0.0181894919872463,0.0816460078830467,0.0611332613958655,0.047456110420109,-0.0968432477340614,-0.104521291283258
"RIL_2",-0.091333033979034,-0.116711242156424,0.0831329928595577,0.0383580610968288,-0.0957852128468723,0.0975032257372442
"RIL_201",-0.00908758421657599,-0.110335032157569,0.13152760312488,-0.0087516132014705,0.10581106033153,0.0869721071560446
"RIL_204",0.0367468543654541,0.0898358630948308,-0.140366025457156,0.00952690684793818,0.0985230756431307,-0.108074771913254
"RIL_205",-0.0971782328642221,0.0958652193345529,0.0114563145667549,-0.0286601612388099,-0.0807661351841836,0.102853779872158
"RIL_206",0.149057508396453,0.0895141963690277,-0.0921173729377954,-0.107740007737029,0.146391156532355,-0.108748801125683
"RIL_207",-0.0141871932853125,0.0801023655759566,-0.115805043466621,0.0263377793744004,0.124742529495414,0.0666280159687196
"RIL_208",0.0681406859880246,0.0840115408569022,0.119858456325381,0.0060904380244467,-0.106301012842177,-0.110170235426712
"RIL_21",-0.156542706219888,-0.112053967899029,0.179420961199755,0.122443201491715,-0.0759546405019505,-0.0900904175979632
"RIL_211",0.122249678574061,0.11711208919706,-0.114081086015428,-0.159407981831205,-0.0266982413827268,0.084905226376723
"RIL_212",0.0264133955207703,0.0319186357428206,0.0202954935049879,-0.0161336445944654,0.0556871402520451,0.020418158807866
"RIL_213",-0.0999214427061312,-0.105234336168493,0.0990753325951266,0.0566111604422658,-0.0912226255793012,0.116921357343364
"RIL_215",0.0560582429266458,-0.108954262998163,0.0411540601294921,0.0920237924428731,0.115855456436431,0.107144771250927
"RIL_222",-0.0514031770947759,-0.047040560329476,-0.00551119171245413,0.155522720001574,0.11654613418987,0.000568976671409922
"RIL_223",0.0443556567170366,0.0916644363772734,0.00309955377977052,-0.164520271506357,-0.0636084619677715,-0.109046376942711
"RIL_225",0.0474737998977051,0.0927200195942623,-0.0465474020578911,0.0691053219465429,-0.0578229173418288,-0.0977898240752775
"RIL_228",-0.0395277427934696,-0.102955262641869,0.0380803868439012,0.0331975104027122,0.033238254260964,0.100818189066908
"RIL_229",-0.209951719160456,-0.0872382142619406,0.0361970858017696,0.052717695312585,-0.0740240433565215,0.124620978802281
"RIL_23",0.0210552593922214,0.0933381298410113,-0.0797517217902314,-0.233523039108474,0.117041891709399,-0.104847562923935
"RIL_232",-0.0950722773094013,-0.115640696375822,0.147704327387762,0.161204329710738,-0.0517561021892281,0.104751707461933
"RIL_235",0.086849487576809,-0.00673966609773734,-0.0670542549830391,-0.16235586295712,0.0704456087389282,0.0634083632186497
"RIL_240",0.20492202446548,0.0906826558723905,-0.0597905184260352,-0.212616128141429,0.11489826009739,-0.117230893290623
"RIL_242",-0.0497610373299998,-0.0376616158552004,-0.139887435703258,0.0332096003111393,-0.0559527574509397,0.0960738325698137
"RIL_243",0.0714029646981917,-0.107706810103161,-0.00954016994616278,-0.119379495036061,0.0289582382169438,-0.0678764627144982
"RIL_248",-0.184124061108081,-0.0499554240275698,0.0172968857619794,0.144712299032243,0.00899821568665269,0.118664184981224
"RIL_25",0.053090268029927,-0.0989885865649408,0.0464335082509404,0.0246779150872211,-0.0767467285077084,0.0307014640170076
"RIL_250",0.0493244807817081,-0.116485161825279,0.110258025667007,0.0361432506297565,0.0379078693609178,0.106128333932283
"RIL_251",0.0121127898229235,-0.0717862342680071,0.20264274419331,0.112722418611421,-0.0901034282859608,-0.0100355054430134
"RIL_253",-0.0356928400901674,0.094040535731799,-0.176836763483448,0.0068461650850158,-0.0883103054192384,-0.0124532490727075
