"","Line","individual","blk","trt","UNr","CRr","UNHmax","CRHmax","UNInflection_DD","CRInflection_DD","UNInflection_size","CRInflection_size","UNduration","CRduration","UNSTP","CRSTP"
"1",1,802,7,"CR",0.012653050179487,0.0129464817931703,40.0747548710401,35.6862159506726,659.196793910639,616.829933734541,20.0373774525518,17.8431079743725,944.392235523063,887.01627228492,38.4156956426617,34.2709372591652
"2",2,243,2,"CR",0.0131296970459202,0.0132063577122702,49.9900152241685,45.2034717754581,661.900642088966,635.260223256937,24.9950076090249,22.6017358896541,917.155021109865,895.742501933127,48.0127854058694,43.139364457308
"3",7,227,2,"CR",0.0136867360451623,0.0144597003866848,37.6277882668582,33.0462027438525,516.368517936637,494.488569694036,18.8138941336044,16.5231013706467,761.010482106819,750.199331068884,35.7482493497011,31.6839459502595
"4",9,240,2,"CR",0.0133913296197286,0.014698056741306,29.8378896533599,24.8151958058117,545.048348418617,497.926482200116,14.9189448269117,12.4075979027303,800.608465190402,721.026246468416,28.7839165089787,23.7126235904321
"5",12,157,2,"CR",0.014476318155029,0.0155026580817846,19.8686824731396,19.6595412562393,516.628060899792,492.976072657558,9.93434123847061,9.82977062827399,762.561632474455,727.877624684526,18.7915529161384,18.7310384553232
"6",15,222,2,"CR",0.0132438238132185,0.013858874776836,47.8541524531421,42.6431827174327,616.451551536547,596.478014486064,23.9270762142237,21.321591354431,876.252630733611,853.86726149894,46.6309417098256,40.8860499383105
"7",16,164,2,"CR",0.0140165776900214,0.0138460002855396,41.3413988639196,36.7414664895596,608.063350455914,571.866225691814,20.670699431145,18.3707332449927,859.25096782651,814.660538890583,40.2146409538658,35.3689611921095
"8",21,149,2,"CR",0.0121357674433727,0.0130025732130582,54.6309223010449,44.9367722582364,717.905989498315,678.509664428539,27.3154611521478,22.4683861297989,996.277404365445,931.579633584992,52.2424086379624,42.881715429021
"9",23,162,2,"CR",0.0149994835499554,0.0143680148011638,30.5956205742767,26.28912514251,495.495187281732,441.502372260313,15.2978102891123,13.1445625661094,728.694297776971,695.160201515688,29.4134843526434,25.4069183403454
"10",25,223,2,"CR",0.0124718225764048,0.0131572872460294,47.9282772037072,42.5903464080135,639.036779109759,592.798618967867,23.9641385958601,21.2951732001528,899.35587197188,855.363089239654,45.6043327440959,40.7288428454456
"11",30,241,2,"CR",0.0119659308016754,0.0129610444684957,26.7305433751344,24.7230987155795,465.713557289998,449.829512105923,13.3652716985384,12.3615493583036,744.597107416326,722.468295322627,25.76265193804,23.1756944437466
"12",31,262,2,"CR",0.0129773670014532,0.0136746964219971,44.3595222472725,35.3352850715652,672.155743183268,638.667038595872,22.179761122645,17.6676425359925,930.353587888986,897.25753310599,42.1762859868232,33.8677200917897
"13",36,174,2,"CR",0.0118311353684508,0.0145128331709497,20.7103762710327,20.8878755712613,473.744145019574,448.398075321927,10.3551881382177,10.4439377857387,764.167315325575,682.978162118168,19.7484044908225,19.9736799856
"14",39,487,4,"CR",0.0134438130765058,0.0139445891883061,23.8728928699249,27.4414813128975,609.331944375353,623.021105816389,11.9364464471339,13.7207406590967,867.599010478659,887.277095543444,22.2263368037326,26.1531825847392
"15",42,204,2,"CR",0.0131714593418614,0.0140439265026734,29.1333971144896,28.5807437129817,569.646809621213,553.237281297503,14.5666985614187,14.2903718569023,825.169190189226,800.415320391174,27.6455820389904,27.2302773544334
"16",46,524,4,"CR",0.0136359800381704,0.013833315874169,36.1166064849629,33.3607751657533,607.837621978588,583.245829644287,18.0583032379096,16.680387582703,860.758133040978,812.241288152161,34.3750110169468,31.8222135992038
"17",53,197,2,"CR",0.0162418528099031,0.0160620055733132,33.6942590265554,29.8245446421664,575.047921503146,571.287498223818,16.8471295141213,14.9122723223518,787.414248173775,794.219574166957,32.4750239703293,28.6789728632919
"18",60,160,2,"CR",0.0133813755043603,0.0139015084352731,37.5334934699555,31.2950611469202,630.206124901273,592.043484648655,18.7667467329599,15.6475305729613,882.097654463896,830.945763406617,35.9737269518005,29.8353922164375
"19",63,236,2,"CR",0.0159537096987101,0.0159228596483244,45.927605242543,39.1711332240609,590.790222952469,547.113638335837,22.9638026192664,19.5855666124371,813.503680259128,769.993054084799,44.6586145779114,37.9221097218777
"20",65,195,2,"CR",0.0122298307704789,0.0143260052559031,40.2265722543972,31.0396926004262,613.162995512742,560.402926802468,20.1132861260663,15.5198462992325,895.781764455447,790.287317879008,38.2651048408649,29.57605349156
"21",66,256,2,"CR",0.0154073561428262,0.0154942800501461,42.9979913365453,35.5567447850079,552.579032040272,522.150699545115,21.4989956658143,17.7783723918501,792.401461279675,735.70041668109,41.7888005482144,33.9757774046694
"22",69,165,2,"CR",0.0125274069734197,0.0127265480040473,59.8035009565783,51.4184586519168,711.95595381646,685.662585441613,29.9017504731189,25.7092293252824,978.172588863695,937.608073525199,57.8681271199068,49.2791682836807
"23",70,228,2,"CR",0.0163057720769866,0.0160311873073983,34.7638740436498,28.0378112127559,537.847296521454,524.591869844046,17.3819370251332,14.018905605463,782.211690909437,744.299462151081,33.9705578135459,26.6943051617821
"24",73,145,2,"CR",0.0148938622877328,0.0157505484535995,25.5604075399174,25.2104717469391,512.913409102324,510.889951449009,12.7802037752419,12.6052358731373,760.7289821279,727.402374404358,24.2500687301766,24.1918737016948
"25",76,201,2,"CR",0.0142978834176773,0.0154299658624917,26.0112549060926,25.4327270534479,532.093423305922,522.823947557084,13.0056274564527,12.7163635277844,783.462057964297,751.458989060483,24.7152234095107,24.2344828032306
"26",80,411,4,"CR",0.0125452348553333,0.0130362272714895,45.9608866045307,42.2374302006643,612.950291831593,595.446447881429,22.9804433004932,21.1187151001856,887.519833054687,834.529519736346,44.0633840328505,40.4616966865308
"27",89,220,2,"CR",0.0158894817517576,0.0170826098992677,28.776463578967,29.9354363335836,540.420601443096,530.679654868847,14.3882318015079,14.9677181664509,765.866194501664,740.378234442439,26.9474901670688,28.8700980213451
"28",93,211,2,"CR",0.0128871519026302,0.0146965958328431,29.2949307690379,28.1733712855851,506.826302601384,486.95048787441,14.6474653856169,14.0866856431091,777.748486976856,727.441290558888,28.2510280368168,27.0062396458691
"29",103,210,2,"CR",0.0141139788755429,0.0142552442758395,46.961190585839,42.5823147175132,617.62690300438,581.7150518834,23.4805952924666,21.2911573576656,870.688999707976,826.931357596952,45.6273281744335,40.997726803439
"30",115,158,2,"CR",0.0135007109994299,0.0139412696710925,26.2959493358921,21.8057227115831,652.556213106712,629.662199381751,13.1479746704291,10.9028613569778,910.202420751153,888.828073861682,24.6667877296846,20.724115074168
"31",124,244,2,"CR",0.0119527483028244,0.0124107787055953,44.6951647610014,42.1524490747637,695.442358006838,720.145619479891,22.3475823730665,21.0762245387473,966.139763140459,992.372652440682,41.7596240426174,39.9427618390317
"32",131,192,2,"CR",0.0137575486368119,0.0134232450496255,27.9904529181981,23.1882783767197,487.274553510201,490.708493880279,13.9952264635022,11.5941391886856,750.128847687713,750.4676787309,26.9032941981141,22.0649868827336
"33",136,200,2,"CR",0.0106577800549319,0.0108479197750932,33.9707882047392,26.9978903003345,575.643796002029,562.614557339761,16.9853941065016,13.4989451507268,884.707939449716,854.500372175546,32.1501002628186,25.4443737173053
"34",143,167,2,"CR",0.0128062008938897,0.0129594090010223,39.0759002479127,35.8891597853597,741.987665278184,738.013833250199,19.5379501327823,17.9445798911976,997.947938415348,1013.7609195695,36.6487474763801,33.7382836648883
"35",146,193,2,"CR",0.0112555003032594,0.0120079095643669,37.8019654560793,33.3573935518884,596.399472165279,577.65826661198,18.9009827314399,16.6786967734897,896.621587232944,863.085409339006,35.8108479957779,31.8530375160516
"36",147,206,2,"CR",0.0139627752688477,0.0140363475709269,38.2439702325978,34.4136761921422,693.841428376724,656.101904164952,19.1219851156811,17.2068380987495,936.764112897767,910.876303106462,36.0007368089943,32.8709987739817
"37",150,190,2,"CR",0.013048066206026,0.0142317093986252,41.2905450806301,37.8610806296489,589.819972759863,567.358544792524,20.6452725416229,18.9305403146799,843.643791140522,815.799977451685,39.7874153756635,36.551449327436
"38",154,141,2,"CR",0.0123002091264635,0.0120253487835655,49.9143591719946,42.675711842579,691.689774526158,667.685297890787,24.9571795741634,21.3378559204056,972.825099642188,933.17322603459,47.33300602327,40.4189437669698
"39",155,233,2,"CR",0.0125967713587311,0.0116758598397715,59.8739726878445,49.1497385165627,724.15446150227,701.361656481231,29.9369863382978,24.5748692589706,991.479843531416,1006.762286645,57.5182875717434,46.6656327407273
"40",164,146,2,"CR",0.0112129179990275,0.0129693674947527,22.9056968063211,21.455604825093,444.260126270486,396.606882027595,11.4528484090701,10.7278024116528,753.438414355702,652.689177732305,21.8357384870064,20.4022439801522
"41",171,170,2,"CR",0.0152361995940291,0.0151802957194814,34.0060005132904,29.8116125974124,533.506563414091,516.916368466875,17.0030002565205,14.9058062996074,768.928872633895,762.865088721941,32.6344570610797,28.5490589540742
"42",174,207,2,"CR",0.0116035843347994,0.0127609504858656,36.8070914757556,36.4608796549469,675.390120400606,644.377536941457,18.4035457487829,18.2304398261874,957.973018132135,906.108172300684,34.2444413315419,34.2945860917605
"43",175,154,2,"CR",0.0134234492336094,0.0132809946988323,33.4336827842048,27.6726100969015,604.599110394317,571.279168941441,16.7168413895264,13.8363050508047,863.447883837636,818.656978707841,31.8714287399275,26.483666758034
"44",176,238,2,"CR",0.0125983377621419,0.0125185669939635,54.1277574247406,40.1637653305044,775.0952655287,696.133327184455,27.0638787186071,20.0818826665884,1040.85953631019,965.93758160073,51.7841286306342,37.8961239881958
"45",182,251,2,"CR",0.0120880051524738,0.0113624405765311,58.0992436554605,54.1827013681497,719.961972333121,717.585494119334,29.0496218288132,27.0913506860359,989.08770155665,1007.28674831454,56.8998751081533,50.9824748616775
"46",183,166,2,"CR",0.0118779115848226,0.0118505832368723,45.9135430470765,41.5298223211615,669.53197534914,648.30890639898,22.9567715258821,20.7649111617576,949.24327145579,933.705731413076,43.4391669085323,39.6819820020742
"47",184,217,2,"CR",0.0127176933001887,0.0133201793892411,31.4000580463291,27.2881681941644,592.786323529521,562.827448067953,15.7000290255365,13.6440840971617,859.12270892675,815.101884510022,29.9583857506871,25.9208959557501
