"","Line","individual","blk","treat","UNr","UNHmax","UNInflect_DD","UNInflect_size","UNduration","UNSTP"
"1",1,2008,13,"UN",0.0153804244618364,45.3327872138194,637.436447273381,22.6663936039353,891.095011425604,44.6262227329013
"2",2,2109,13,"UN",0.0168892062728125,52.5292670087429,606.413724572734,26.2646335246847,847.845882779973,51.4056202370369
"3",7,2132,13,"UN",0.0149816845728665,50.4914745344496,617.094871101338,25.2457372795935,886.263215944953,50.0666985763817
"4",9,2024,13,"UN",0.0140368800427828,37.525310263785,626.973577630235,18.7626551054858,887.499094538575,35.5385585182423
"5",12,2112,13,"UN",0.0156151709148016,29.2504533362373,596.882784430671,14.6252266383567,873.03729149886,28.8262146565921
"6",15,2057,13,"UN",0.0143429795788215,57.0863463216655,601.519138979909,28.5431731949764,869.130723935512,55.4223678199162
"7",16,2048,13,"UN",0.0140026237330894,47.1485504943907,607.668434186283,23.5742752473479,891.095011425604,45.0442552867756
"8",21,2043,13,"UN",0.0161543059333659,58.6091178349789,636.551266967975,29.3045589481865,874.257576771615,57.0953442358404
"9",23,2092,13,"UN",0.0168120520155916,48.6272919965988,583.064036630192,24.3136460024724,851.585330423994,46.5754456995827
"10",25,2123,13,"UN",0.0150627053165496,58.1569004305332,620.613934178659,29.07845024705,896.612817437642,57.1414841417012
"11",30,2042,13,"UN",0.0147387391824776,41.5338246218519,536.043273550576,20.7669122980228,802.117227822573,40.0081990987318
"12",31,2016,13,"UN",0.0159934350964555,48.5552610777683,644.296697516386,24.2776305459576,896.435294255949,47.421343973697
"13",36,2017,13,"UN",0.0145975970547579,35.2219657488009,553.093407180268,17.6109828591663,826.172359697436,34.1571827733288
"14",39,2071,13,"UN",0.0151620740143142,36.7990301589433,654.133944925353,18.3995150408968,922.287669788416,35.92473632325
"15",42,2063,13,"UN",0.0141768902724669,38.2247116252604,588.774993079585,19.1123557883541,857.428379147139,37.9319033349967
"16",46,2236,14,"UN",0.0158687945789496,41.9512621150944,586.926080863852,20.9756310393858,841.993570963862,41.4334433720491
"17",53,2010,13,"UN",0.016412698480427,38.9625188810154,573.673164456183,19.4812594258391,827.294546040651,37.7429202960029
"18",60,2054,13,"UN",0.0160219599245227,45.5765310184465,646.179750976855,22.7882655058274,896.435294255949,44.1761705948222
"19",63,2029,13,"UN",0.0155477484015087,52.9347823786556,601.235779876821,26.4673912060553,857.428379147139,50.3742979487869
"20",65,2127,13,"UN",0.0159285273048895,50.7580904950913,627.492601559123,25.3790452559973,862.776899006997,49.2208003022674
