"","MEdarkturquoise","MEroyalblue","MEdarkorange2","MEgreenyellow","MEplum1","MEbisque4","MEorange","MEmediumpurple3","MEbrown","MEdarkgrey","MEturquoise","MEdarkmagenta","MEdarkslateblue","MEpink","MEviolet","MEblack","MEmagenta","MEpaleturquoise","MEdarkred","MEthistle1","MElightcyan1","MEyellowgreen","MEfloralwhite","MEivory","MEtan","MEskyblue","MEdarkgreen","MElightsteelblue1","MElightgreen","MEblue","MEred","MEorangered4","MEsteelblue","MEcyan","MEmidnightblue","MElightyellow","MEgrey60","MEskyblue3","MEsaddlebrown","MEsalmon4","MEdarkolivegreen","MEbrown4","MEwhite","MEpurple","MEyellow","MEdarkorange","MEsienna3","MEplum2","MEsalmon","MEthistle2"
"RIL_1",-0.109461337444449,0.110765256001289,-0.0946603545142438,-0.0907833121496741,-0.022901918909878,-0.133758509729501,0.0295579406308127,-0.020399069401491,0.0216587968961423,0.0316798359914707,0.0506001724050926,-0.104408726605025,-0.0984144858496509,-0.112395398398209,0.110902509534705,0.0611521551319752,0.0107559651617242,0.0970283853066781,0.0827029096971356,-0.0688038661516001,-0.106225865267672,-0.0555557664433373,0.105075797620515,0.0939382920252504,0.12492648172813,-0.125404283165366,0.124719352621288,0.112523836679606,0.180518573661803,0.00973140161103753,0.0684927988511499,0.0762995649419791,0.111931450450669,-0.0119542748818697,0.121505671617159,0.0803222831113603,-0.0324467096484106,0.133037525854558,0.108548037978996,-0.0359872266632857,-0.113662261697667,0.0509564661296847,-0.100911903321955,0.0498908174634686,0.0728188728179182,-0.126237536890915,0.0798368276538798,0.0276111734604198,-0.109692765377814,-0.103093067581329
"RIL_103",-0.0981273925466086,-0.0313999374859352,0.0995648343913043,0.0897181415067161,0.080862691641412,0.0832040168351509,0.0790031130851321,0.0329791702172289,0.0551572239057204,0.128610121607034,0.156436106524558,0.103929820215493,0.0492754163032106,-0.133141635946956,-0.0542982764665192,-0.00109451165084351,0.0256943259072602,-0.108777837934193,0.09030576354366,-0.103494623749367,0.0716780645268548,0.0744999018096257,0.0959631178048513,0.104084527488743,0.113205168770837,0.0178568634363959,0.101800155836618,0.11113818427176,-0.0160026307912261,-0.132115125042052,-0.212164876932137,0.0826165824005144,-0.0756927037966903,0.0234649267180393,-0.010462724762071,-0.110396639877781,-0.0817296140364087,-0.102564635151824,0.063996370449914,-0.0809333530850362,-0.0932727106083049,0.0724880306923995,-0.102430812102952,0.00563117039389871,-0.132424459467335,0.0520171367060966,-0.112526239717123,0.00995230132886394,-0.115715077037949,-0.128301562232108
"RIL_104",-0.0286254807747599,0.127538992936988,0.108204912541036,-0.0619142849763887,0.10713872511834,0.0916725153502644,0.0665681432490872,-0.0741103794300438,-0.0833886599174896,-0.064824800882324,-0.178318269143529,0.140444279883767,0.108807859414179,0.0470878768864101,0.0824216447350047,0.0861612251201699,-0.0224424796185935,0.153581421236216,0.0803103899348687,-0.0583653884216842,0.0825244890883672,-0.0410256836391831,-0.0623988439257943,0.0993315500029995,-0.0102969255779396,-0.108264645846074,-0.0534604273860993,-0.0406625092221668,0.100994109457146,0.155593102123021,-0.0167393539010426,-0.0216228554779709,-0.0682319803289513,0.0827253990039076,-0.00559798686485571,0.0463692295365946,-0.0535156384086535,-0.0756916020842224,-0.00809436480947071,-0.0947502222162655,-0.111244382467933,0.102826338852806,-0.0750862123813615,-0.213707892487128,-0.185462779052718,-0.081487024793001,-0.0960168367644737,0.031709135677293,0.0219240397544744,0.101221344665853
"RIL_113",-0.041607351802354,-0.101280808588667,-0.093473967052717,-0.115332033033103,-0.110823697319157,0.027636069447543,-0.145554579133485,0.109666646892524,0.0689183093373158,0.0378110337393706,0.101120301406529,0.0643573468298135,0.0931765035279964,-0.146402177119346,-0.0828110769192546,-0.0441195224628639,-0.0252175567949385,-0.105490138937746,-0.10507480249979,-0.0854540621128404,-0.131736271056614,-0.119372785126902,-0.11009527259479,-0.12906519577639,-0.103148830712795,0.0790699507785433,0.131844045888679,0.090163816094126,-0.118118406605812,-0.0916596053711017,0.00761058708283323,-0.0436325766960945,0.118414400143366,-0.0654442660245803,-0.125114114314119,0.100685089267768,0.139060675480634,-4.50577783322311e-05,0.0889863379246876,0.10908549171433,0.114668270054762,0.0812107254297095,0.100143378882865,0.0637989817522752,0.0786514764301003,0.0714933727356547,-0.0118419353457574,0.0258547402094343,0.099253288623687,0.103958916991586
"RIL_115",0.086410935299155,0.115586573515401,-0.0888288026006557,-0.0786376100465576,-0.11167212830063,-0.0512566419444422,-0.13324893855777,-0.0745584669984446,-0.0861545916968949,-0.127328561316982,-0.181868076873042,0.110702383362908,0.00150115843393876,-0.106209165356783,0.0206392941736095,0.00241504068303511,-0.0574665141736679,0.146813294703251,0.105738607482368,-0.0737713811671013,0.078903350667656,0.0976081680654218,-0.0795244201416731,-0.113903344618385,-0.0917313514474663,-0.0985879757684395,0.120496474900989,0.129512020467035,0.10174250491685,0.130094057428732,0.155265969135365,0.106463437108056,-0.0937120248147695,0.0351187739916489,-0.0273936357127579,0.091196085745449,0.139590720809274,0.138766364216925,0.0352828656658337,0.111311696545118,0.114887892433592,0.104266791939491,-0.0999054632630073,-0.0437159978416369,0.0744498531021225,-0.0080121539456741,-0.0987234393040382,0.0455460574588367,0.0937961424139214,0.0984742532003913
"RIL_12",0.109509640996972,0.132947561907075,0.102035783934551,-0.0830808068096655,-0.135056670846147,-0.11583527506012,-0.131605527903749,-0.0847528195006136,-0.0202571381282138,0.0241818990152114,-0.0185969175096223,-0.0709503993059145,-0.117484469019716,0.0945276804052971,-0.0857013111017289,0.0439666743501865,0.0855755590170263,-0.0845562895144564,0.0744060682117633,-0.0889275817137555,0.0693247315824682,0.104079533237528,0.0866682053863251,0.0898262841655109,0.118179657370598,-0.145517172759933,-0.0819581979962714,-0.0862362786034015,0.0745121056311141,-0.016239277764363,0.0637095243420275,-0.134672398916878,-0.102368595360741,-0.118442804994551,-0.0191953157898305,0.0616230053951975,0.139415339125115,0.129770351803285,-0.0564941096235841,0.102789362488514,-0.0977575784624548,0.0936928241613937,-0.0683201623794576,0.103327498423366,0.133240491567838,0.0783031791125401,0.0167263988295759,0.0371704815451453,-0.111241514980291,-0.0663771869689789
"RIL_123",0.0152252622494971,-0.103590461916612,-0.076706892983319,-0.0896307245830431,-0.122335687488474,0.0329521917002344,-0.134562765944042,0.100307526678968,0.227354303482217,-0.0315467582687053,0.10162256586225,0.0690230343028223,0.0613177728271605,-0.132816385932268,-0.0743603179972167,-0.100644043704253,-0.122627750720044,-0.119084010339346,-0.0948821557539826,-0.096137049930779,-0.125997384875503,-0.124273805374667,-0.103615411144868,-0.0971921219411119,-0.0840630340984473,0.0778435657154162,0.117671889123025,0.0769795372685923,-0.117302385875018,-0.137199154750494,-0.0291241900314222,-0.0429076752762476,0.112013247609194,-0.0837250187260679,-0.0144127568899911,0.0892114251194286,0.124629815678863,0.00336308531673161,0.049993217572306,0.111247736207584,0.106778469877024,0.0729104589905892,0.0916253369112762,0.1561033820088,0.111876812753642,0.0701036916374851,-0.0958245480430061,0.0142453262231047,0.0691689102352542,0.0897658415528915
"RIL_124",-0.0880701109004881,0.0733863696210109,0.0970360968795566,0.113066337153466,-0.0840958896219339,0.0984001529501675,0.0745215225766074,0.116161355030103,-0.0446751156159898,0.059046885303865,0.0464340270449924,0.108478834644499,0.0795567800493737,0.0662784538210349,0.00587623391141137,-0.0558268639714431,-0.00466713270518501,-0.0886102822156495,0.0393815571184783,-0.093068477125699,-0.114466619343731,-0.116143088079836,-0.0913387961543295,-0.105439751631645,-0.091825465944814,-0.0763701093945724,-0.080749304116123,-0.0412207864420189,-0.10409019703186,0.0145673434189001,-0.0418183419023912,-0.123329457052159,0.117597616307326,0.0546938866954534,-0.0415231660662449,-0.110721360713744,-0.066101484883404,-0.073695179306514,0.100603763846196,0.102817834678706,0.108569818556078,0.090350175217918,-0.068829655762183,-0.140976048860052,-0.109067729134916,0.0161472331156732,-0.0841293009821023,0.0244030602400165,0.0860317942531828,0.10405035128078
"RIL_131",0.0314420623440198,-0.0917372739379068,-0.0942588267702514,-0.0942221237648273,0.094442771501014,-0.0637702389149009,0.072636967189635,0.10386223742441,0.105473224657109,0.0998691808840426,0.144350258888235,-0.0866209312772673,0.00342444409573715,-0.127441004626318,-0.00772605260922381,-0.0677406890970517,-0.0160417164470642,-0.0291748505934407,-0.0765453327552552,0.0988121454929756,-0.120478248646051,-0.112908952464041,0.0913978836710765,0.113285176224693,-0.0978791893783413,0.0633189669336584,0.116512049188797,0.0697774921036662,-0.109737928159183,-0.136745349402369,-0.109702255581595,0.0876901412800685,0.119390722352743,-0.0534563930599654,-0.0580100989217612,0.0926180767253188,-0.0688904951689245,0.075457256594463,-0.0349828622055114,-0.0831805642764958,-0.100928216568518,-0.113295936669308,0.0695924940754658,0.0677271680120673,-0.0153320947074783,0.0156794108834777,0.096242510895163,0.00997319015636335,0.0807814843489047,-0.0950208945632871
"RIL_136",-0.064043276915149,-0.0788679186521496,0.0251753762981146,-0.0831887368232318,0.105460029413861,0.0962154624566629,0.0781007283313348,-0.0747850563171604,-0.0453267740585334,0.0317072784537753,-0.0312478604312621,-0.082964329360314,0.0141349041930316,0.0929758087740719,0.120037542066092,0.0183874531900001,0.100374573852683,-0.0531075007884709,0.106169298806624,0.100009113652798,-0.121274875614595,-0.0130797853030219,-0.0847661468050922,0.0662034980444526,-0.0802856618719646,0.0818239400880875,-0.057624769021024,-0.0965038996275903,0.109184623593901,-0.0289859677481052,0.106107825996378,0.0921655223666634,0.0849365584265522,-0.124373722886692,-0.0903539594462711,0.0868183707573977,-0.0554983250515082,-0.0718590635699929,-0.00937982592891341,-0.0876458489598237,-0.0676035453575407,-0.0969263083273029,-0.085144887451712,0.0395770886222046,0.144191588134813,-0.108536211345806,0.0464018711989408,0.0595464765874673,0.105466236717825,0.110126796595335
