MR_gene,MR_Cutoff,eQTL_start,eQTL_end,eQTL_candidate,min_eQTL_LOD,max_eQTL_LOD
Bra002255,50,10755931,11427369,Bra002244,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002243,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002242,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002241,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002240,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002239,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002238,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002237,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002236,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002235,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002233,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002234,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002232,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002231,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002230,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002229,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002228,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002227,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002226,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002225,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002224,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002223,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002222,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002221,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002220,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002219,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002218,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002216_Bra002217,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002215,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002214,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002213,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002212,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002211,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002210,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002209,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002208,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002207,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002206,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002205,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002204,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002203,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002202,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002201,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002200,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002199,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002198,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002197,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002195,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002196,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002194,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002193,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002192,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002191,17.320546828872466,18.82201123478325
