"","MEmidnightblue","MEpurple","MEroyalblue","MEsalmon","MEcyan","MEgrey60","MEdarkred","MEdarkgreen","MEblue","MEbrown","MEturquoise","MEdarkturquoise","MEblack","MEyellow","MEdarkorange","MEtan","MEwhite","MEmagenta","MEred","MEgreen","MEpink","MElightyellow","MEorange","MElightcyan","MElightgreen","MEdarkgrey","MEgreenyellow"
"RIL_1_CR",0.00717721732781623,-0.0602437380595168,-0.0615161043596585,-0.0786745278432995,-0.0728960025828943,0.0947387641278041,-0.0535472981653235,-0.0599831407484745,0.00413798017676984,-0.00618020366106075,-0.0182518338390466,-0.0608649818947902,-0.0328408363182459,0.0396793069829934,-0.0779845107524782,0.0915474917045905,0.0764086302535463,0.0431158398743622,0.0297581133711257,0.0133925844079768,0.050501606935508,0.0551702767322232,0.0680200133572614,0.108240340987679,0.0866146552151452,0.0595830189431262,-0.00628170999406963
"RIL_1_UN",0.00482604131824005,-0.0724526024401112,-0.0698667346075288,-0.0869063044022003,-0.0797353617392124,0.0922099806252114,-0.0601283238134049,-0.0733611682500062,0.0552020150126558,0.0260527438677471,0.00784735378295787,-0.0742042681351245,0.0135846149935944,0.0241515102555333,-0.0907178561778628,0.0929038305618732,0.088160546847988,0.0221299628790286,-0.0219909755700715,0.0903949463067049,0.0608746942616364,0.0509430892429768,0.0595211906772215,0.115828368251242,0.095453820797848,0.0600142872425292,-0.00986158868612297
"RIL_103_CR",0.0600093984401588,0.074398324525719,-0.0739581811228119,-0.0950302889414645,-0.0951341436240927,-0.0359900082092167,-0.0644122308395418,0.0560707357727207,-0.0582570988201592,-0.00739134072660375,0.0598305403228726,0.0663325048464036,0.0308433130143462,-0.0160629659416757,0.0198307875975169,0.0925579837446791,-0.0496678188170175,0.0253590389662882,-0.0333722618469907,-0.0733769325004869,-0.0171212379330902,0.0531571875417605,-0.0713762643796684,-0.0204938984256453,0.0858506441152848,-0.0741044465485554,-0.0688212784511724
"RIL_103_UN",0.0596941945890542,0.0724500492664591,-0.0800704929159404,-0.0917251397343198,-0.0958543470963142,-0.0312942109904789,-0.0639240415239168,0.0557428041556025,-0.105403206818017,-0.0233351788871244,0.101511127182334,0.0709943394053264,0.116179047554367,0.0180299809678634,0.0183677741077394,0.0852015691765269,-0.0543966380107384,0.0463411972545988,-0.0807515971798975,-0.138828136828375,-0.0409630948785572,0.0460257579256521,-0.088809927138036,-0.0169064153478488,0.0812009931509113,-0.0756010110756242,-0.0707929574982372
"RIL_104_CR",0.068792379519015,-0.0346697942498143,-0.0181695422655072,0.0214966986318626,0.0416963668356443,0.0881127534174066,-0.0519459138220104,0.00618312765242929,-0.00879235974989715,-0.0802568620066669,-0.0804882050130934,0.0782022295915874,-0.0655179534626419,0.0284008588070647,-0.0929442709045766,-0.010425145498956,-0.0514731009081497,0.00775821176213572,0.0937705934564789,0.0591449789224317,0.0146146535966759,0.0471928890639637,0.115303678827099,0.0767097750755811,-0.0303816436193884,0.0263803314288873,-0.0620362989250516
"RIL_104_UN",0.0503665776616354,-0.0295909124366278,-0.0127719015351095,0.0158787957671468,0.0330379843528276,0.0867461928642304,-0.0473615573280659,0.0138210031040768,-0.130077699336751,-0.125159443960193,-0.096752866560455,0.0927092255374359,-0.0518174361428855,0.0337692727047435,-0.0825241509640324,-0.0100166538706502,-0.0602887020959235,0.0469371923863421,0.161958941825606,-0.0303009539404461,-0.0225524077481764,0.0461862248811881,0.103803557893032,0.0753525585448398,-0.031473383514883,0.019979183753179,-0.0564687315726429
"RIL_113_CR",-0.0640935276444044,-0.0524842960227653,-0.0127018185100304,0.0733120464656415,-0.0658337148093022,-0.0361120044193995,0.0715034351496744,-0.0631799354654701,-0.00962696935668447,0.0522230660939861,0.168083351681209,0.0522306091769679,0.0626784554650105,-0.0788836506023229,0.0575754648123321,-0.0497844663152907,0.0888915734709652,-0.0975835794460716,-0.116833827754933,-0.10862512779992,-0.083948774553241,-0.0597558677724099,-0.045955015908872,-0.0590476654706206,0.0905159739010004,0.0702184154687009,0.0894601579575765
"RIL_113_UN",-0.0896002734577813,-0.0889761411873256,-0.0336347008761399,0.0738326596510044,-0.109789497852452,-0.0762045946405013,0.0765820093627019,-0.0988840353131948,0.0182561105808391,-0.00834398471679536,0.0919326208520773,0.0633271114555464,0.0458504436543769,-0.0280221940702946,0.062307954189575,-0.0861531638210334,0.091092395139281,-0.0169572415256736,-0.0630063520260199,0.00444265353292793,-0.0944309425024932,-0.0861681002271911,-0.0818222136170993,-0.0876742332058759,0.0962389472747763,0.0728629480114699,0.0899572583009676
"RIL_115_CR",-0.0829885207821029,-0.0489166307013671,0.0589580969424235,0.0873385276764384,-0.0765053418249734,0.0777938111061538,-0.0521208574992091,0.0630091987369644,0.133131371219817,0.0343803806406994,-0.0706685302636211,0.0579297921290411,-0.0742196488281083,-0.0283940080883619,-0.0724071531878394,-0.0689009392269435,-0.0806886612108925,-0.0288068510596106,0.0372803410425779,0.0568071722667771,-0.0547273192367204,0.0630413690975027,0.107085851141364,0.0706855555612323,0.090324467379847,0.0690950087531472,0.105345580208732
"RIL_115_UN",-0.0919115022332353,-0.057441626102025,0.0599538167462541,0.0706457810773265,-0.0829144047855802,0.0731408544632887,-0.0622092977121788,0.0646564701088173,0.0365672126544425,-0.0453433114642442,-0.120361702466507,0.0594746247396879,-0.101755189765135,-0.00619098333301874,-0.0724291285710495,-0.077050336278574,-0.0648997385667552,-0.0087720068732661,0.10473131282569,0.0879631208892231,-0.0162474712705057,0.0647224151956191,0.10713450250633,0.074639207565365,0.0811589220760262,0.0630379887171538,0.103217521145762
"RIL_12_CR",-0.089910583371282,-0.035647419395163,0.0840055161774814,-0.0618571187540395,0.0675697605235831,0.0975988637384396,-0.0307391728925344,0.0727629192571582,0.18471877281079,0.110306619962578,-0.0322029762125123,-0.0705878437030801,0.0222080568839483,0.0401337214688571,-0.0972272827921627,0.0901937067400611,-0.0606531275383038,-0.121109161244616,-0.0820055624071164,0.0621654874785999,-0.0556791046686363,0.0405797404879995,-0.0410264951524875,0.0544217435850157,-0.0581408274598478,0.0521249896829754,0.112597068094808
"RIL_12_UN",-0.103556450925795,-0.043390446195176,0.0794091639848451,-0.0835021640908251,0.0646653591392468,0.0915923650693879,-0.0342634070525489,0.0679906366303171,0.0833155388471365,0.0497049773272232,-0.0178832635786691,-0.0692071614540026,0.0198282793026787,0.0457829226176051,-0.103216747851675,0.0872632768679149,-0.0668499643415058,-0.0518935349474911,-0.0438539783500411,0.022692756438031,-0.0317724699838956,0.037848608335564,-0.0596505253596937,0.0495761863535915,-0.0714154925917614,0.0363021531011562,0.10673750354172
"RIL_123_CR",-0.0975573209181399,-0.0800018617933529,0.0119664097607507,0.0707859232787727,-0.108920650880891,-0.0722985219203045,0.0679579376271848,-0.102011884946222,0.063283049869573,0.049289513897549,0.15757049207572,0.0555661365560217,0.0115082750744702,-0.0813305436782038,0.0575327517472167,-0.080031267737316,0.0924809639854781,-0.11910339860845,-0.141972181719856,-0.0521379913228264,-0.100144507796061,-0.0761000495098434,-0.0807449381992155,-0.0848267310126385,0.0972393251607569,0.0756198300348653,0.0938503912925211
