"","MEdarkslateblue","MEyellowgreen","MEcyan","MEmidnightblue","MEpurple","MEyellow"
"RIL_1",-0.0984144858496509,-0.0555557664433373,-0.0119542748818697,0.121505671617159,0.0498908174634686,0.0728188728179182
"RIL_103",0.0492754163032106,0.0744999018096257,0.0234649267180393,-0.010462724762071,0.00563117039389871,-0.132424459467335
"RIL_104",0.108807859414179,-0.0410256836391831,0.0827253990039076,-0.00559798686485571,-0.213707892487128,-0.185462779052718
"RIL_113",0.0931765035279964,-0.119372785126902,-0.0654442660245803,-0.125114114314119,0.0637989817522752,0.0786514764301003
"RIL_115",0.00150115843393876,0.0976081680654218,0.0351187739916489,-0.0273936357127579,-0.0437159978416369,0.0744498531021225
"RIL_12",-0.117484469019716,0.104079533237528,-0.118442804994551,-0.0191953157898305,0.103327498423366,0.133240491567838
"RIL_123",0.0613177728271605,-0.124273805374667,-0.0837250187260679,-0.0144127568899911,0.1561033820088,0.111876812753642
"RIL_124",0.0795567800493737,-0.116143088079836,0.0546938866954534,-0.0415231660662449,-0.140976048860052,-0.109067729134916
"RIL_131",0.00342444409573715,-0.112908952464041,-0.0534563930599654,-0.0580100989217612,0.0677271680120673,-0.0153320947074783
"RIL_136",0.0141349041930316,-0.0130797853030219,-0.124373722886692,-0.0903539594462711,0.0395770886222046,0.144191588134813
"RIL_143",0.113206444354877,0.00237296849678132,0.0344206376453164,-0.0504523922683759,-0.161102628569729,-0.0659060362609011
"RIL_146",0.103294948732977,-0.110828971110245,0.0917205842065087,0.0785009161339336,-0.0920699454652915,-0.123270445173855
"RIL_147",-0.100198201728767,0.10045904724882,0.0131022826079384,-0.033275645952086,0.0167779314482423,0.0495343138124968
"RIL_15",-0.0923532035833951,0.0888824844027079,0.0958374716332498,0.147919708070484,-0.0428648075569231,-0.0619252854796066
"RIL_150",-0.111832920900815,0.0988470635382563,-0.0413515666176991,0.0425849756571176,0.0564726256026525,0.0437712733555437
"RIL_154",0.105376826219814,0.0627665374892314,0.0345500728605535,0.011783789406033,-0.0919600665080663,-0.064101833067792
"RIL_155",-0.0888497125868636,0.087453468867428,0.123562241744394,0.130994505915978,-0.135117937469808,-0.0412974441266971
"RIL_16",-0.0994996978824851,0.100000904404855,0.0460928333251973,0.0833246528666559,0.0211184388008276,0.0383271894851729
"RIL_164",-0.0879769019909701,0.104174675897693,0.024831649250841,-0.0360452529208727,0.0986617038415891,0.0913956306221961
"RIL_166",-0.0507109545290611,0.0984213831194879,0.0232088584906034,0.0322746949160661,0.0207191984560417,0.0417339141921148
"RIL_171",-0.0982127352906055,0.0899164416908789,-0.0613143083480052,-0.112253470863406,0.0599465273520387,0.0968574895155861
"RIL_174",0.0229667304710579,-0.0794346562379726,0.0375823371721822,-0.0642132193055878,-0.00809372260886522,0.0164098814481247
"RIL_175",-0.0925550265390842,0.0559405144686685,-0.0151329549737793,-0.00236896466476869,0.00788709589096235,0.0329089264156059
"RIL_176",0.111100762307909,-0.0348866687093836,0.141808950916238,-0.0650332866930963,-0.109695998304145,-0.103387679307751
"RIL_182",0.104404130864015,-0.116804465127489,0.0991728701305092,0.108376838725637,-0.0717429253491364,-0.0846641165172474
"RIL_183",0.109109805159371,0.0622162457895005,0.13056438350546,-0.0461736686077139,-0.133929641443189,-0.0619433823457941
"RIL_184",0.0555884100529355,-0.103190306742444,-0.127004885921424,-0.0881407266756006,0.0514229172941531,0.100465196659937
"RIL_187",-0.00840225668859225,0.0918688104359272,0.0546557284193952,-0.0157499368782133,-0.0842717843938726,-0.147075414523488
"RIL_190",0.105932145121708,-0.126176910364884,0.126204131447079,0.223706902379459,-0.0559622986968903,-0.0527975797467901
"RIL_193",-0.0974911748665642,-0.0865213686301473,-0.0645358079773042,0.0231875747098481,0.0594576499738723,0.0699261312066074
"RIL_198",-0.0218243579596703,0.0986862265035539,-0.0313334549186322,-0.109143938190195,0.0929984121425051,0.139789989555927
"RIL_199",-0.0986621923458054,0.0953235932193173,0.0398514896057233,0.0669008771703497,0.027783821173172,0.0153013614897504
"RIL_2",0.0885612884880984,-0.125049956506666,0.0260510430483642,0.0747807032256165,-0.0789857688905473,-0.0897225569136173
"RIL_201",0.0727157573219038,-0.0620793871162682,-0.0064068667679221,0.119706562658492,0.0990688717769901,-0.0445232764181177
"RIL_204",-0.117508617429368,0.107546686905966,0.0110226375853737,-0.137259895638067,0.0346248465252494,0.00285327007745845
"RIL_205",0.0882574040863262,0.0478199736656323,-0.0340744510007652,0.0105897959548929,-0.103034675268943,-0.0885450212157945
