"","MEbrown","MEturquoise","MEred"
"CRr",0.411528958586848,NA,-0.489176095904336
"CRHmax",-0.529914559326789,NA,0.604023898443366
"CRInflection_DD",NA,-0.579046996408737,0.670426936296406
"CRduration",-0.560533513641985,NA,0.685838267814222
"CRSTP",-0.523571700842289,NA,0.595071363745923
