edge,node1,node2,cor
Bra025250|Bra038899,Bra025250,Bra038899,0.6663303142889849
Bra017236|Bra038899,Bra017236,Bra038899,0.6667585393326926
Bra032711|Bra008430,Bra032711,Bra008430,0.6662385845143686
Bra009285|Bra008430,Bra009285,Bra008430,0.5912857502471385
Bra018223|Bra037542,Bra018223,Bra037542,0.7507079715023605
Bra037847|Bra037542,Bra037847,Bra037542,0.6979512802330409
Bra025250|Bra037542,Bra025250,Bra037542,0.6852708794258171
Bra017236|Bra037542,Bra017236,Bra037542,0.7357346512972627
Bra038899|Bra037542,Bra038899,Bra037542,0.6319785278697257
UNSTP11|Bra012767,UNSTP11,Bra012767,-0.4209591741715946
