"","MEbrown","MEturquoise","MEred"
"RIL_1_CR",-0.00618020366106075,-0.0182518338390466,0.0297581133711257
"RIL_1_UN",0.0260527438677471,0.00784735378295787,-0.0219909755700715
"RIL_103_CR",-0.00739134072660375,0.0598305403228726,-0.0333722618469907
"RIL_103_UN",-0.0233351788871244,0.101511127182334,-0.0807515971798975
"RIL_104_CR",-0.0802568620066669,-0.0804882050130934,0.0937705934564789
"RIL_104_UN",-0.125159443960193,-0.096752866560455,0.161958941825606
"RIL_113_CR",0.0522230660939861,0.168083351681209,-0.116833827754933
"RIL_113_UN",-0.00834398471679536,0.0919326208520773,-0.0630063520260199
"RIL_115_CR",0.0343803806406994,-0.0706685302636211,0.0372803410425779
"RIL_115_UN",-0.0453433114642442,-0.120361702466507,0.10473131282569
"RIL_12_CR",0.110306619962578,-0.0322029762125123,-0.0820055624071164
"RIL_12_UN",0.0497049773272232,-0.0178832635786691,-0.0438539783500411
"RIL_123_CR",0.049289513897549,0.15757049207572,-0.141972181719856
"RIL_123_UN",0.0770194032683907,0.160412294788893,-0.103887826781458
"RIL_124_CR",-0.0257560845093378,-0.0432764760819629,0.0889886567731323
"RIL_124_UN",-0.133688202325798,-0.00649593830262071,0.0409968521819656
"RIL_131_CR",0.0840690089821758,0.0971039852620421,-0.063770097817065
"RIL_131_UN",0.0238132869837636,0.112620520066929,-0.108255620556952
"RIL_136_CR",0.0473373324731837,-0.0258505942194651,-0.0259518187478856
"RIL_136_UN",-0.00811432454279664,-0.0423120456863497,-0.0308228301862642
"RIL_143_CR",-0.0501825983756266,-0.0700032457638234,0.0442255048081638
"RIL_143_UN",-0.111639185100594,-0.0770140161817808,0.0586261217532532
"RIL_146_CR",0.0231646345650863,0.0144199387558531,0.0372078629837704
"RIL_146_UN",-0.0696810509059162,0.0151430840292885,0.0462645880525296
"RIL_147_CR",-0.0271175143258417,-0.0251121986956673,0.0783273582715863
"RIL_147_UN",-0.0145014798573128,-0.0143062204761742,0.0147400412826743
"RIL_15_CR",0.0463479992724419,0.0194914367204223,-0.00119527573821816
"RIL_15_UN",-0.0404138504463111,-0.0760267402497671,0.0552823537249529
