"","MEdarkmagenta","MEdarkred","MEnavajowhite2","MElightcyan1","MEpurple","MEbrown4","MEcoral1","MEgrey60","MElavenderblush3","MEthistle2","MEdarkslateblue","MEred","MEyellow","MEpaleturquoise","MEcyan","MEmediumpurple3","MEhoneydew1","MElightpink4","MEwhite","MEbrown","MEdarkturquoise","MEroyalblue","MEplum1","MEmidnightblue","MEsteelblue","MEdarkorange2","MEfloralwhite","MEpalevioletred3","MElightsteelblue1","MEsalmon4","MEsienna3","MEdarkorange","MEthistle1","MElightyellow","MEskyblue","MEyellowgreen","MEdarkseagreen4","MEgreenyellow","MElightgreen","MEblue","MEmagenta","MEdarkolivegreen","MEviolet","MEcoral2","MEorangered4","MEskyblue3","MEdarkgreen","MEorange","MEtan","MEmaroon","MEsaddlebrown","MEdarkgrey","MEivory","MEantiquewhite4","MEpink","MEbisque4","MEplum2","MEgreen","MEblack","MElightcyan"
"RIL_1",0.106767279591686,0.101179924944205,0.115712542992391,0.129952786591886,-0.0339652820141235,0.105292710826179,0.0962503828579304,-0.10763447505447,-0.0410389052454849,0.0895499811284953,-0.0833113753072598,0.0580463952703408,0.0647763710126558,0.0244201250093739,0.129541990850113,0.0291940548759993,0.0817909308610741,-0.0828027415271144,-0.106442788288528,-0.0103484177481854,0.113055285761658,-0.00564796994285142,-0.0580711014410142,-0.0749601439325935,-0.0807877773554915,-0.0845866300521029,-0.0985228213077086,0.0873026899344969,0.0810551325343745,0.0741569716881324,-0.117053978078653,0.0418770022225105,-0.0965954574451038,-0.103975843311942,-0.0977051922345421,-0.0914775487164531,0.108732309953038,0.0248503009655433,0.113342262706839,0.022817706561309,0.00582050138855327,0.0389651596980776,-0.0952061671686118,0.11234941290395,0.0813845854083106,0.0751133057590718,0.109177811778719,-0.0541820167422233,0.0918570464431503,-0.0851050076345064,0.101617804905894,-0.0914750478522807,-0.0850696848771056,-0.0950984672914825,0.115531679762589,0.109356490759098,0.11215212422675,-0.118595115521129,0.0510861969371648,0.0110705546078415
"RIL_103",0.124466108629225,-0.0572874303952735,0.0774053313574266,-0.0906490783713108,-0.0780279614250708,0.0777897445097618,-0.0507754249180869,0.0357033327042613,0.0134130498571388,-0.107506868612341,-0.113413875062156,-0.207861296115483,-0.0853150415169452,0.0138017750987255,-0.0507280732050198,0.105097617826119,-0.123920921644896,0.0851757029121055,0.0577855720653712,-0.115618026086689,0.00474748069519437,0.0342500391785701,0.100214539781366,0.087388800322924,0.0908657028758537,0.0918684184291374,0.0967736784613424,0.0918953761629513,0.0920358317439347,0.0828308481391535,0.0815621918469455,0.0835720579318355,0.0871995594724965,-0.092603466146172,-0.0852066449847936,-0.0818098619091815,0.109132343118386,0.160489923789108,0.0979088162893265,0.122268770550763,0.00083396653050738,0.0477356830586447,-0.0739751176053465,-0.0717400185230539,-0.0858253365416149,0.095431526531234,-0.107695026113747,-0.094443473598168,0.0919677327553486,-0.0350359903841962,-0.0798072428502558,0.0597060879101551,0.0925716479431336,-0.0963979361575133,0.105832689599524,0.130545142158394,0.101303101578239,-0.119990977765731,0.0050700700303461,0.0110164427616657
"RIL_104",-0.0734491071394247,0.0869084702908322,0.084281188138865,-0.0911977241741869,-0.0607513012890242,-0.0417655118542605,-0.0876210188302193,-0.063237636755024,-0.107149302437145,-0.108087103358941,0.068323380458432,-0.0315644349793042,-0.222465984872548,0.0312654436627582,0.126145473594856,0.0586938308360827,0.106245036838108,-0.0809360538827111,0.0786897764757694,0.18237493130474,-0.00119098286647559,0.0653914969705329,-0.0633137184986278,-0.0716857255120009,-0.100859487514669,0.0953434647282232,0.0988921053767639,-0.122359348744279,0.0178775738468003,-0.105851836460055,0.0714426405518449,0.0913401080085329,0.0838072660641384,-0.0349939600254956,-0.0967018856253356,-0.107323676075887,-0.0813584880090725,-0.142171675747105,-0.234647377284954,-0.120588530282427,-0.0435904481952727,0.0873269641003728,-0.076616825621343,0.0292623705194082,0.142726499201905,0.107475412457738,0.142542438166915,-0.0899593332094915,0.0799348713533513,-0.0942291218962521,-0.0846181203186492,0.076694653876134,0.11515955440043,0.106841664692649,-0.0114955550540336,-0.0681374058525085,-0.0797531563452734,0.0418396588860232,0.0950159423408553,-0.0125343522675445
"RIL_113",0.0963604694645592,-0.101780650879871,-0.106328204361944,0.0666147377838491,0.142555297968575,0.0987306534877017,0.0920628097561371,0.0719066774958271,0.0776916852101975,0.0422365247440227,0.115066083956665,0.0395352284925258,0.082078476279706,0.0228880092787149,-0.0884326710438001,-0.0956467345411319,-0.0951504360996909,-0.102746910496468,-0.129695860770058,-0.0850403555090075,-0.1231322236795,-0.0693549293033363,-0.115980668786687,-0.0966006381494349,-0.102230175918151,-0.0836806994386218,-0.105934933521952,-0.101762125330205,-0.00422042977252882,-0.107209205030934,0.0926811899385919,-0.11218504130839,-0.109705755559932,-0.0413834040513075,0.104608287329441,0.123018395584456,0.110194886621674,0.0845748486185872,0.00365941709354642,0.106808784523999,0.0341194319261505,0.128506171254,0.134311352980574,0.1162116784059,-0.0524296874824012,-0.0909137458057126,-0.0953635588806316,-0.0867685796458723,-0.104061716948459,0.0970594060531315,0.105289119062909,0.100447876743605,0.0939882650670569,0.112070764210044,-0.0960513409670822,-0.0960243988908537,-0.0870101946763717,-0.141825822533031,-0.0390988262670755,-0.031115124673965
"RIL_115",0.114299057498641,0.08671180851364,0.0832995196008151,0.126419458697992,0.136969527973763,0.111373880139348,0.118747046031012,0.0147843173541435,-0.114825371886732,-0.106524409080855,0.089694812963277,0.127941190663885,0.0474720942380874,0.0376757143630648,0.0973491145524761,0.115031156837452,0.0889652837097204,0.0826566916923269,0.080395812263225,0.119317297680173,-0.0297192323082489,0.0306853005598367,0.0681296672311272,-0.0863605733315642,-0.0492757648884556,-0.0831618440213568,-0.101591187032014,0.0569498996771867,0.0857027311423451,0.0862957319438436,-0.0590140987160703,-0.114839726596156,0.102329416827516,0.0969120567985035,0.0947154980731534,0.100501621602745,-0.0976289754134442,-0.167866883794838,-0.167032805688887,-0.141779863993278,-0.0415136187944651,-0.0554564753467325,-0.0708720215767913,0.111784112914489,0.10521063184205,-0.0633388102034728,0.144717034255376,-0.0928642931929182,0.105214660226607,-0.0800288686341079,-0.0874776465529583,-0.0255207728480832,0.0938774231925565,-0.0872838184754666,-0.0885878429343118,-0.0936476166431625,-0.0810727702604055,-0.11107515020273,0.00435477053444606,-0.0482911609037903
"RIL_12",-0.0966368014795179,0.0642825088554288,0.0807656860239412,0.123197299799107,0.136231193498016,-0.0250111610610088,0.089818123874835,0.0754151531680251,0.0944561224360162,-0.0475781420332297,-0.0342168881394695,0.0992536955520895,0.132410623483364,0.0344150838641024,0.132951961707211,0.120266456466563,0.116585400966077,0.0900255471287394,0.079342447148356,-0.0374576562204369,-0.0171536530296852,-0.127444253729588,-0.063455222496522,-0.0933496708096755,-0.105673772774098,0.108932131589309,0.0929789035912797,-0.103966524379108,-0.128377032955173,-0.104813130512089,-0.110184455263307,-0.118254638835399,-0.0811053068540215,0.11322808000268,-0.109755061792801,-0.0365716502404905,-0.00281572258449781,-0.00652723989420415,0.0162204481856338,-0.0346576636104868,-0.00659875370499932,-0.109106123047935,-0.0838092985433124,0.107858935214164,-0.106940083686959,-0.089604061592473,-0.0900187013116374,-0.0906316450155377,0.0713620500590769,-0.0605352833180212,-0.0929032289234711,-0.1139664621274,-0.0991154980474282,-0.0739084303111814,0.113789459792972,0.117771690468111,0.109419687467177,0.0891754020376906,0.0400067736412847,0.0902983054413081
"RIL_123",0.0793623719282432,-0.098961092893602,-0.101431613363519,0.0575783855164436,0.12851861255425,0.0796242016172178,0.0825355006812058,0.0729323478467968,0.0451464735914085,-0.092291086025845,0.114457042433446,0.00370824960914827,0.14574775156418,0.00900166197262591,-0.0889743118551672,-0.0937212293828605,-0.0808493873823238,-0.0954152110567573,-0.118593808664126,-0.145139478037737,-0.00901591649433294,-0.0697856409687065,-0.101312493881366,-0.0793639044812238,-0.0846654982189481,-0.0701981917582759,-0.0963198674122493,0.0423860922182246,-0.00733363775564109,-0.10995467612979,0.0907083467813143,-0.111707080658519,-0.0874201379461829,0.0201583919037262,0.0932946465717235,0.103431060455827,0.08418959887738,0.0566256572013619,0.164615755145247,0.196249363536349,0.220129956593227,0.125483999678046,0.110835588801333,0.115803264456246,-0.0600518113752092,-0.088827077847033,-0.105912050502045,-0.0788195872710332,-0.0949242996982378,0.0847682566100099,0.111777172946445,0.0855706852731289,0.0694800504679384,0.0997466949159967,-0.0695422277537941,-0.0964140012051245,-0.0650536495760583,-0.127314009451307,-0.0967847148251486,-0.124353220670297
"RIL_124",-0.0362889955515935,-0.0936369418654477,-0.11812754235305,-0.0675876409803601,-0.0681659115872373,0.0958002935357482,0.0879980403879291,0.0296477686457961,-0.123354610683179,-0.0999046371886399,0.0880026177412778,-0.0460034546431686,-0.132243021483263,0.027802954220775,0.0970913615015609,-0.102067301595194,0.0973002470888783,-0.100721975448777,-0.110593490674857,0.056978811517274,-0.0389174643527144,0.0517956962152125,0.107488178896834,0.109297142660586,0.0865338572314468,0.102447093466223,0.0989514898262512,0.016594539301856,-0.118300622104786,-0.101483397060019,0.0800810676818021,-0.0982128594722102,0.0991877189625143,-0.0835924821283884,0.102847528582377,0.0917447701935265,0.0893638468938712,0.0664460285982093,-0.128503788201266,-0.00496855442390474,-0.0493625522702773,0.0171751711897456,0.0465336184179071,-0.0422106968721069,-0.0927679709403686,0.0620424827306084,-0.0773314640889949,-0.0964283638237104,0.0507343898064135,-0.128747626512741,0.109653983988207,0.0782607023638984,0.083505548764615,-0.0874368543645384,-0.0900407232182918,-0.0710784079390669,-0.087337331989652,0.0712283023412171,-0.0387860874016685,-0.0160172553186271
"RIL_131",0.0665780003847341,-0.095085335131218,-0.106642414599163,0.0791562359173305,-0.0716114336863442,0.0324471428962662,-0.0843231420048052,0.0269066662894627,-0.0135339998596054,0.0880217748088557,-0.0769157952263411,-0.081165595530808,0.0152791997237353,0.0233426883927254,-0.084206635522722,-0.026300151429313,0.0917476553721032,-0.107229151574824,-0.115201300424896,-0.130707760644674,-0.0540371965141462,-0.0484371859074773,-0.121414733201214,-0.0792049941092158,-0.10145758221479,-0.0971580357534619,-0.0907987044473716,-0.0833371414537512,0.0744547393851464,0.0839658390394804,-0.0704959090487776,0.0882543941223751,0.0912145477237835,0.0375294651669185,-0.0993876869850807,-0.0757439347190913,0.0927382188832525,0.134876144687856,0.097896799351476,0.140994453207477,0.0688352969975277,0.0470569388368889,0.117653628198043,-0.000509322318258858,0.103190315736166,-0.0890541888457817,-0.0321946617603863,0.107901043841477,-0.0741133243533694,-0.106913437164492,0.112461994689822,0.0125551223479058,-0.088929337955028,0.10055053258594,-0.0861590359718819,-0.0950672239850082,0.101906049104784,-0.127648942085055,-0.0602429063899533,-0.0313581439786199
"RIL_136",-0.100130918937949,0.0931791465375386,0.0926913139529229,-0.0627172271353167,-0.0670168442940148,-0.0779041462710353,-0.103690619339036,-0.0919378768745789,-0.120293790149292,0.0583376721973131,0.0783740205758077,0.159634233351524,0.121681888349977,0.0474938491970512,-0.0748746661888061,-0.09068715405459,-0.062050751083077,0.0614995352525491,-0.116882388553506,-0.0368087643628956,-0.0935299837775948,-0.129469457547131,-0.108884550514533,-0.0895959838968054,-0.0900386202125922,0.0310063985050223,0.00209434949968104,0.0924392109054898,0.0739670174380386,0.0904506822965261,0.0952674022305996,0.089612671774317,-0.0942040428788206,-0.0807721927390836,-0.0896469778435555,-0.0142805002453504,0.0861228853716769,-0.000674469098554711,-0.0676836817253387,-0.0643304636880327,-0.0218594456023128,0.0794391026882583,-0.0496761677082588,-0.0375874387009667,-0.103004757756642,-0.0910302732180483,-0.0590194103261526,0.0991919755768825,0.0952055041203102,-0.0991841863583458,0.0996388405893453,0.0266932291397151,-0.0826681079201862,0.099417895894657,-0.0890604051867423,-0.0803753607738963,-0.0988613004562763,0.0785019085431185,0.0226940736425069,0.105191700463781
