graph,edge,MR_Cutoff,node1,node2,cor
blup.mr.graph.UN.2012.30,Bra026943|Bra022867,30,Bra026943,Bra022867,0.7728677393349398
blup.mr.graph.UN.2012.30,Bra026943|Bra023009,30,Bra026943,Bra023009,-0.64820289703572
blup.mr.graph.UN.2012.30,Bra028216|Bra005332,30,Bra028216,Bra005332,0.9825886772408025
blup.mr.graph.UN.2012.30,Bra028216|Bra008566,30,Bra028216,Bra008566,-0.6962907254864811
blup.mr.graph.UN.2012.30,Bra028216|Bra008575,30,Bra028216,Bra008575,0.8682201875613809
blup.mr.graph.UN.2012.30,Bra028216|Bra008577,30,Bra028216,Bra008577,0.8741012777916038
blup.mr.graph.UN.2012.30,Bra028216|Bra008734,30,Bra028216,Bra008734,0.7179329003761891
blup.mr.graph.UN.2012.30,Bra028216|Bra008859,30,Bra028216,Bra008859,0.6516205435532846
blup.mr.graph.UN.2012.30,Bra028216|Bra013959,30,Bra028216,Bra013959,0.8500683167927627
blup.mr.graph.UN.2012.30,Bra037847|Bra037542,30,Bra037847,Bra037542,0.6979512802330409
blup.mr.graph.UN.2012.30,Bra038899|Bra037542,30,Bra038899,Bra037542,0.6319785278697257
blup.mr.graph.UN.2012.30,Bra039532|Bra011761,30,Bra039532,Bra011761,0.640638700098832
blup.mr.graph.UN.2012.30,Bra039532|Bra025790,30,Bra039532,Bra025790,0.7472139548600167
blup.mr.graph.UN.2012.30,UNd12|Bra008637,30,UNd12,Bra008637,-0.6356729648471278
blup.mr.graph.UN.2012.30,UNd12|Bra008734,30,UNd12,Bra008734,-0.6024310652936018
blup.mr.graph.UN.2012.30,UNd12|Bra008750,30,UNd12,Bra008750,0.6170197262241361
blup.mr.graph.UN.2012.30,UNd12|Bra028216,30,UNd12,Bra028216,-0.6367701348633801
blup.mr.graph.UN.2012.30,UNd12|Bra036465,30,UNd12,Bra036465,0.6374859293431425
blup.mr.graph.UN.2012.30,UNd12|Bra039532,30,UNd12,Bra039532,-0.6286714808498821
blup.mr.graph.UN.2012.30,UNHmax12|Bra018973,30,UNHmax12,Bra018973,-0.6786217103949824
blup.mr.graph.UN.2012.30,UNHmax12|Bra025250,30,UNHmax12,Bra025250,-0.6667465844237934
blup.mr.graph.UN.2012.30,UNHmax12|Bra025497,30,UNHmax12,Bra025497,-0.6181417124440888
blup.mr.graph.UN.2012.30,UNHmax12|Bra037542,30,UNHmax12,Bra037542,-0.6207471743627168
blup.mr.graph.UN.2012.30,UNHmax12|Bra037847,30,UNHmax12,Bra037847,-0.5962957928402125
blup.mr.graph.UN.2012.30,UNiD12|Bra002411,30,UNiD12,Bra002411,0.6359562131643344
blup.mr.graph.UN.2012.30,UNiD12|Bra005332,30,UNiD12,Bra005332,-0.6199332786708848
blup.mr.graph.UN.2012.30,UNiD12|Bra008684,30,UNiD12,Bra008684,-0.6299948301170645
blup.mr.graph.UN.2012.30,UNiD12|Bra008840,30,UNiD12,Bra008840,0.6187651281109949
blup.mr.graph.UN.2012.30,UNiD12|Bra008859,30,UNiD12,Bra008859,-0.6286772058132544
blup.mr.graph.UN.2012.30,UNiD12|Bra028216,30,UNiD12,Bra028216,-0.631409125964095
blup.mr.graph.UN.2012.30,UNr12|Bra026943,30,UNr12,Bra026943,-0.48566907902555523
blup.mr.graph.UN.2012.30,UNr12|UNd12,30,UNr12,UNd12,-0.5084587804798011
blup.mr.graph.UN.2012.50,Bra002255|Bra025790,50,Bra002255,Bra025790,-0.6455730167274933
blup.mr.graph.UN.2012.50,Bra002290|Bra002255,50,Bra002290,Bra002255,0.7172536395849141
blup.mr.graph.UN.2012.50,Bra002290|Bra002411,50,Bra002290,Bra002411,0.8461800790380337
blup.mr.graph.UN.2012.50,Bra002619|Bra018973,50,Bra002619,Bra018973,0.8225331555503897
blup.mr.graph.UN.2012.50,Bra002619|Bra021591,50,Bra002619,Bra021591,0.8041099975620511
blup.mr.graph.UN.2012.50,Bra002619|Bra025250,50,Bra002619,Bra025250,0.8734947617266315
blup.mr.graph.UN.2012.50,Bra002619|Bra025790,50,Bra002619,Bra025790,0.7476619998407233
blup.mr.graph.UN.2012.50,Bra002619|Bra037542,50,Bra002619,Bra037542,0.6884179519773167
blup.mr.graph.UN.2012.50,Bra002619|Bra038899,50,Bra002619,Bra038899,0.6826444260063371
blup.mr.graph.UN.2012.50,Bra005332|Bra008635,50,Bra005332,Bra008635,0.8914433048953717
blup.mr.graph.UN.2012.50,Bra005332|Bra008711,50,Bra005332,Bra008711,-0.7182948755980765
blup.mr.graph.UN.2012.50,Bra005332|Bra100024,50,Bra005332,Bra100024,-0.6657989020250652
blup.mr.graph.UN.2012.50,Bra005332|Bra102309,50,Bra005332,Bra102309,-0.8233305864434748
blup.mr.graph.UN.2012.50,Bra006755_Bra006756|Bra025250,50,Bra006755_Bra006756,Bra025250,0.6985778395948281
blup.mr.graph.UN.2012.50,Bra006755_Bra006756|Bra026068,50,Bra006755_Bra006756,Bra026068,-0.5414606568466652
blup.mr.graph.UN.2012.50,Bra008162|Bra025790,50,Bra008162,Bra025790,0.6499088051256949
blup.mr.graph.UN.2012.50,Bra008162|Bra039532,50,Bra008162,Bra039532,0.6002452341691168
blup.mr.graph.UN.2012.50,Bra008566|Bra008840,50,Bra008566,Bra008840,0.6089274470237658
blup.mr.graph.UN.2012.50,Bra008575|Bra002255,50,Bra008575,Bra002255,-0.6173783396839313
blup.mr.graph.UN.2012.50,Bra008575|Bra008635,50,Bra008575,Bra008635,0.8365450226559066
blup.mr.graph.UN.2012.50,Bra008575|Bra008711,50,Bra008575,Bra008711,-0.6443550726467998
blup.mr.graph.UN.2012.50,Bra008575|Bra008840,50,Bra008575,Bra008840,-0.6091621371072236
blup.mr.graph.UN.2012.50,Bra008575|Bra008859,50,Bra008575,Bra008859,0.6223360663375143
blup.mr.graph.UN.2012.50,Bra008575|Bra100024,50,Bra008575,Bra100024,-0.6353824712378602
blup.mr.graph.UN.2012.50,Bra008575|Bra102309,50,Bra008575,Bra102309,-0.881088498862507
blup.mr.graph.UN.2012.50,Bra008577|Bra008635,50,Bra008577,Bra008635,0.8397052369192627
blup.mr.graph.UN.2012.50,Bra008577|Bra008711,50,Bra008577,Bra008711,-0.632428277468326
blup.mr.graph.UN.2012.50,Bra008577|Bra008840,50,Bra008577,Bra008840,-0.6067673991349892
