mr.cutoff,fisher.p.val,Genes_NoQTL_NoMR,Genes_NoQTL_YesMR,Genes_YesQTL_NoMR,Genes_YesQTL_YesMR
10,1,43029,2,432,0
20,0.010786742067163292,43017,14,430,2
30,0.0029408518089792776,43005,26,429,3
50,8.358352055621096e-8,42983,48,424,8
